competition_id,round_type_id,group_id,is_extra,scramble_num,scramble,Normal Move Count
MichiganChampionship2025,2,A,1,1,U R' U F U R U2 F R U R,9
KAISTFall2014,1,A,0,1,R F R F U F U2 F R U R',9
PerthFavouritesEvening2026,f,A,1,1,R' U F R U R U R' F R U,9
RVITMCubeVerse2025,d,C,0,2,U R U' F R U R' F R U R,9
MonteAlegreOpen2023,d,B,0,2,U R' U F R U R U R' F R,9
RigaOpen2015,1,A,0,3,U R F R U R' U2 F U R U,9
WestBranch2019,1,C,0,1,U R' F R F U2 F U F R U,9
France2017,2,A,1,1,U R U R' F U2 F U F R U,9
LTCKids2018,2,A,1,2,U R' U' F U F R U R U R,9
HessenMiniOpen2025,f,B,0,2,U R F R F R U R U2 R' U,9
KuutiostorenKuutiokekkerit2022,1,B,0,2,U R' F R F U' R F R U R,9
CarnikavasPavasaris2023,d,A,0,2,R' U F R U R U R' F R U,9
TorontoOpenFall2014,2,B,1,1,R F R U R' F U' F R U R,9
NacionalPerubik2016,1,E,0,5,U F R U' R' F R U R U R,9
UpperValleyCubeDay2024,1,A,0,4,U R' F R U R' F R U R U,9
IguatemiFortaleza2024,2,A,0,5,U' R' F R U F U F R U R,9
BucharestCubingSeptember2025,1,B,0,4,U R U2 F U2 F U F R U R,9
ChengduOpen2018,2,A,1,2,U R' F U' F U F U F R U,9
JaniKarkos2022,d,A,0,5,U R F R U' R' F R U R U,9
LawtonOKtoberfest2025,1,B,1,2,U R U' R2 F U F U F R U,9
CubingatHamptonBeach2025,f,A,1,1,U R F R U' F U' F R U R,9
WinterWarmupCO2025,f,B,1,1,U R' F R U' F R U R U R,9
GrandePrairieOpen2022,f,C,0,1,U R' F U F R U2 R F U R,9
CubingZacatecas2024,2,A,1,2,U R U' R' U R F U F U R,9
OregonStateFavorites2019,1,C,0,2,U R' F U2 F R U R F R U,9
ApolloBayCubing2024,1,D,0,1,U F R U R' F U2 F R U R,9
PrlekijaOpen2026,1,C,1,1,R F R U R F R U2 R' F R,9
GLSCupFinal2016,d,B,1,2,R F U' R U R F R U R' F,9
KoreaOpen2025,1,A,0,5,U R' F U R F U2 R U R F,9
IISERPuneCubeOpen2019,f,A,0,5,U R U R' F U2 F U F R U,9
PentictonLakeside2025,1,A,0,3,R' U R U R' F U F U R U,9
NSWCentralWestWinter2022,1,D,0,1,U R U' R2 F U F U F R U,9
SacCubingXXI2025,1,C,0,5,U R F R U' R' F R U R U,9
CaminosdeGtoIrapuato2026,2,B,0,1,R F U' F R U R U' F R U,9
GermanNationals2018,f,A,0,2,R' F R U R' U F R U R U,9
SantaFePrimavera2019,2,B,1,2,U R F R2 U' F U F R U R,9
NordicChampionship2019,2,A,0,2,R' F R F R U R' F R U R,9
SpokaneSummer2022,1,A,0,1,U R U' F U F R U2 R U R,9
CubingATMOSphere2023,2,C,0,3,R U R U' R2 F R F R U R,9
SantaCruzSpringOpen2018,1,B,0,3,U R F R U R' F R U R U',9
CubingKeralaCubezoneOpen2018,1,B,0,2,U R F U2 F U2 F R U R F,9
AnkaraAugust2024,1,A,0,4,F U' R U R F R U R' F U,9
PuebloPuzzling2022,1,A,0,5,U R F R U R' U R' F R U,9
TierradelFuego2024,f,A,0,3,U R F U' F R U R U R' F,9
BucharestCubingMarch2025,f,A,1,2,U R' F U' F U F R U R U,9
SandaSpring2024,f,B,1,1,U R' F U R U' F U R U R,9
UtahsAprilSurprise2019,2,A,0,4,U F U R U R' F U' R U R,9
OhioStateRPACCubeClash2024,3,A,1,1,U F R U R' U R' F R U R,9
UABOpenChallenge2016,1,B,0,2,U R' F R U R U F U2 F R,9
IsraelOpen2024,1,A,1,1,U R' F R U R F U' F U R,9
GermanNationals2014,1,C,0,4,U' F R U F R U R' F R U,9
ElektrykCubeRace2022,1,D,0,1,F U F R U R U2 R2 F U F,9
SanMarcosSBOpen2018,d,D,0,2,F R U F U' F U' F R U R,9
PhilippineChampionship2017,1,D,1,1,U F R U R' F R F U2 F R,9
NAC2022,1,J,1,1,U F U' F U' R U R F R U,9
FECAOpen2017,2,A,0,3,U R F U' F R U F U' F R,9
SantaFeInvierno2019,1,A,1,2,R' F U' F U F U F R U R,9
FrenchChampionship2022,1,A,0,1,F R U R U R' U2 F R U R,9
GoldenSquareShopping2024,c,B,1,2,F R U R' F U' F U F R U,9
PantheonCubeOpen2014,f,E,0,5,R2 F R U F R U R' F R U,9
BangaloreMiniOctB2025,c,A,0,5,U F' R F R U R' F R U R,9
ClassicCitySummer2017,1,D,0,4,U R U2 F U F U F U' R U,9
OttawaSpring2024,1,C,1,1,F U R F R U R' U' F R U,9
HaifaCubing2025,2,C,0,3,U F U F R U R U' R2 F R,9
GasteizOpen2025,1,C,1,1,U R F R U R' U' R U R F,9
MindSportsOlympiadLondon2024,1,B,0,2,U R F U' F R U F U' F R,9
CuscoSpeedcubing2023,1,E,0,2,U R' U R U R' F R F R U,9
SouthernChampionship2024,2,A,0,4,U R F U2 F U' F U F R U,9
CBNBC2015,2,B,0,3,U R' F U' F R U R F R U,9
GranadaOpen2026,2,C,0,1,U R' F R U' F U F R U R,9
NCROpen2017,1,H,1,2,R F U2 F U2 F R U R U R,9
CubossOpen2025,1,B,0,1,F R U R' F R F U' R U R,9
ShijiazhuangOpen2018,d,D,0,1,F U F U' F U F R U R U2,9
TbilisiMayOpen2024,1,B,0,4,R' F U F R U R' U F U R,9
FargoFall2019,2,B,1,2,U R F R U R' F R U R' F,9
UTPCubeOpen2024,1,C,1,2,R' F R U R' U F R U R U,9
HappySuseong2025,1,E,1,1,R F R U' R' F R U R F R,9
CubeChallengeQuark2017,2,C,0,5,U R F R U R' F U2 R U R,9
BurkeMountainCubing2019,1,D,0,5,U R F R U' R' F R F R U,9
CroatianOpen2015,1,B,1,2,R U R F U' F U F R U2 R,9
HampshireSpring2023,2,A,0,4,U R U' F U' F R U R U R,9
GulfofFinland2024,1,B,0,5,U F R U R' F U' F U R U,9
U24Nationals2022,f,B,0,4,R F R U R F R U2 R' F R,9
LytteltonNewcomerRumble2024,2,A,1,2,U F R U R' F R U R' F U,9
Pulmapelipaivat2022,f,A,0,5,F U2 R U R F U' F R U R,9
MontpellierOpen2022,1,B,0,2,R F R U F R U R' F U' F,9
OpenPUCPCubingCommunity2024,1,D,0,5,R' F R U R' F R U R U R,9
CubingatTheCube2026,1,G,0,3,U R F R F U F U' R U' R,9
RutaCuberaJaenOpen2025,1,A,0,5,U F U F R U R' U2 F U R,9
BasauriOpen2025,1,A,0,1,U R F U F R U R' U' R U,9
WarsawCubeMasters2018,d,B,0,2,U2 R F U R F U2 F R U R,9
CyprusCubeFest2017,f,B,0,5,U R U' F R' F U F R U R,9
SwisscubingCupIII2017,f,A,1,1,U R' U F R U R' U F U R,9
LongIslandWinter2019,1,A,0,3,U R' F U F R F U' R U R,9
CUBIFMA2018,1,A,0,4,U R F U' F R U F U' F R,9
RiverHillSpring2019,f,E,1,1,U R' U F U' F R F R U R,9
BeijingSpringPM2021,d,C,0,5,F R U R U' F U2 F R U R,9
IINovaCarapinaChallenge2025,1,A,1,2,U F U F R U R' U' R U R,9
MichiganMayMadness2014,1,B,0,1,U R F U F U' F R U R U',9
SpeedcuberPeruILima2023,f,A,1,2,R' F R U R U2 F R F R U,9
