competition_id,Ao5,round_type_id,group_id,scramble_num,scramble,optimal_movecount,movecount_solution
GemCitySpecialIIOH2024,8.0,d,B,1,UR6+ DR3+ DL2+ UL1- U3+ R6+ D5- L1- ALL2- y2 U0+ R4- D5+ L1- ALL6+,8,UR4+ R5+ \2- ALL6- y2 dl1+ L2- DL3+ DR4+
GemCitySpecialIIOH2024,8.0,d,B,2,UR2+ DR3- DL3+ UL1- U3- R1+ D4- L2- ALL0+ y2 U3+ R4+ D5- L1+ ALL6+,9,UR2+ DR4+ R6- \5- y2 D5- UL3- DL2+ DR4- \1+
GemCitySpecialIIOH2024,8.0,d,B,3,UR2+ DR6+ DL4+ UL5+ U3+ R4+ D2+ L3- ALL5- y2 U5- R2+ D5- L0+ ALL4+,8,U2+ L6- ur1- dl2+ ALL3- y2 ur6+ DR5+ UR5+
GemCitySpecialIIOH2024,8.0,d,B,4,UR1- DR3+ DL1+ UL3- U0+ R6+ D3- L3+ ALL2- y2 U2+ R5- D6+ L4- ALL4+,8,UR4+ DL1- dl5+ /3- ALL3+ y2 R5+ UL2- DL6+
GemCitySpecialIIOH2024,8.0,d,B,5,UR1+ DR6+ DL5+ UL2+ U2+ R5+ D1+ L0+ ALL3+ y2 U1+ R1+ D5- L0+ ALL2+,8,UL5- L2- ul6- y2 ul4- dl2+ D5+ UR1- /1-
ClockedinQuezonCity2024,8.0,2,B,1,UR6+ DR6+ DL1+ UL5+ U2- R4- D5+ L5- ALL2+ y2 U0+ R0+ D2+ L2+ ALL5-,8,UR3+ DR1+ DL1- /5- y2 dl2+ dr3+ D2- L2-
ClockedinQuezonCity2024,8.0,2,B,2,UR6+ DR0+ DL5+ UL3- U3+ R6+ D2+ L5- ALL3- y2 U5- R3- D5- L5- ALL5-,8,UL3+ U3+ D5+ \2+ y2 dr1+ D2+ UL5+ DR3+
ClockedinQuezonCity2024,8.0,2,B,3,UR4+ DR2- DL5- UL0+ U5+ R4+ D3- L5+ ALL0+ y2 U5- R1+ D4+ L3- ALL4+,9,UR3+ R3+ D2- y2 dr6+ D1- UL5+ DL2- DR1- /4+
ClockedinQuezonCity2024,8.0,2,B,4,UR3- DR4+ DL4+ UL0+ U5- R2+ D4+ L5+ ALL5+ y2 U6+ R5+ D1- L6+ ALL5+,8,DR3- DL3+ U4- y2 dr3- ur1- D6+ UL6+ DR5-
ClockedinQuezonCity2024,8.0,2,B,5,UR0+ DR1+ DL5+ UL3- U1- R2+ D6+ L6+ ALL3- y2 U1- R6+ D4+ L1+ ALL2-,8,UL4+ R3- ul2- y2 L4- DL3+ DR5+ UR1+ ALL1-
SantiagoCubikzChallengeMega2024,8.0,c,A,1,UR2+ DR0+ DL5+ UL1- U0+ R5- D2- L1- ALL1+ y2 U6+ R1+ D5- L1+ ALL1-,8,DL3- U1- R3+ \2+ y2 D5+ U5- L1- UR1-
SantiagoCubikzChallengeMega2024,8.0,c,A,2,UR1- DR5+ DL1- UL1+ U5+ R1+ D3- L0+ ALL2+ y2 U6+ R0+ D1- L5+ ALL2-,7,UR5- D1- dr3- y2 ul1+ UL6+ DL1+ \4-
SantiagoCubikzChallengeMega2024,8.0,c,A,3,UR2+ DR3+ DL2+ UL0+ U4+ R2- D2+ L5+ ALL1- y2 U3+ R4- D5+ L0+ ALL3+,8,UR3- DL5+ U3- /3+ ALL5- y2 dr1+ DR5- UR3-
SantiagoCubikzChallengeMega2024,8.0,c,A,4,UR5- DR1- DL1- UL5- U4+ R4+ D6+ L3+ ALL2- y2 U0+ R1+ D1+ L5- ALL0+,8,UR6- DR4- L3+ /5- ALL3- y2 dr1- L5+ DR1-
SantiagoCubikzChallengeMega2024,8.0,c,A,5,UR0+ DR2+ DL5- UL3- U1- R3+ D4+ L3+ ALL3+ y2 U2- R5- D5- L1- ALL5-,10,DR1- UL5+ U1- R4- ur3+ ALL4+ y2 R1- DL1+ DR4+ UR2+
LakeConstanceCubing2022,8.0,d,B,1,UR5- DR0+ DL2+ UL6+ U3- R5+ D3- L3+ ALL3+ y2 U1+ R5- D2- L0+ ALL3+ DL,8,DL1+ U2+ ur1+ y2 dl6+ dr5+ R3+ U1- DR2+
LakeConstanceCubing2022,8.0,d,B,2,UR4- DR2- DL3- UL0+ U1- R1+ D2- L5- ALL0+ y2 U0+ R0+ D1+ L2+ ALL1- UR DL,7,UR5+ DL4- D1- ur4+ y2 D1+ DL2- /1-
LakeConstanceCubing2022,8.0,d,B,3,UR4- DR6+ DL6+ UL2+ U2+ R1- D5- L5- ALL6+ y2 U3+ R4+ D1- L5+ ALL2- UR,10,DR1- DL3- D3- y2 ul1+ dl2- U3- L2+ DL5+ DR4- /4+
LakeConstanceCubing2022,8.0,d,B,4,UR5+ DR6+ DL1+ UL4- U4+ R5- D5+ L0+ ALL3+ y2 U6+ R3+ D3- L4- ALL1+ DR UL,9,UR5- R1- L3+ y2 ul1- D1- R3+ DL4+ UR6+ \2-
LakeConstanceCubing2022,8.0,d,B,5,UR4+ DR4- DL1+ UL3+ U4- R3+ D3+ L4+ ALL0+ y2 U6+ R6+ D2- L0+ ALL2+ UR UL,7,UR3- L4+ \1+ y2 ur1+ D2+ UR6+ \3+
MinervaZapopan2026,8.33,f,A,1,UR3- DR0+ DL5+ UL2- U5+ R4- D6+ L1- ALL5- y2 U4+ R2+ D2+ L2+ ALL5-,8,DL2- R5- D3+ ur3+ y2 dr1+ D2- UL2- UR2-
MinervaZapopan2026,8.33,f,A,2,UR1+ DR2+ DL6+ UL1+ U1+ R5+ D3+ L0+ ALL3+ y2 U2- R1- D5+ L6+ ALL5-,10,DR4+ DL4- UL3- D1+ dr2- \1+ ALL5+ y2 U2+ DL6+ DR1+
MinervaZapopan2026,8.33,f,A,3,UR1+ DR4+ DL3+ UL5- U1+ R4+ D4+ L1+ ALL4+ y2 U0+ R3- D2- L4+ ALL0+,8,UR3+ DL1+ dr5- ul4+ \4+ y2 D2+ R3+ L4-
MinervaZapopan2026,8.33,f,A,4,UR2+ DR3- DL5- UL4+ U4- R2+ D4+ L0+ ALL4- y2 U4+ R2- D4+ L4+ ALL5+,9,DR1- DL5+ UL4- U2+ dl2+ y2 R2+ U4- DL4- ALL3+
MinervaZapopan2026,8.33,f,A,5,UR1+ DR0+ DL1+ UL0+ U5+ R5- D2- L2+ ALL6+ y2 U4- R2+ D4- L4- ALL6+,8,DR4+ DL3- U6- dl3- y2 ur4- D6+ UL4+ DR2-
DrammenOpen2026,8.33,1,A,1,UR3+ DR6+ DL1- UL0+ U6+ R6+ D5+ L3- ALL6+ y2 U2+ R0+ D3- L2+ ALL1-,8,UR3+ DR6- DL4- L4- \5- y2 dr1- D3+ UL2-
DrammenOpen2026,8.33,1,A,2,UR1+ DR3+ DL5+ UL5- U4- R0+ D4+ L4- ALL1- y2 U4+ R1+ D2- L2+ ALL1-,9,UR4- L4+ ul1+ y2 ul5- dl4+ L1- UL3- DL2+ UR1-
DrammenOpen2026,8.33,1,A,3,UR2+ DR1+ DL1- UL3+ U6+ R3- D5- L5- ALL6+ y2 U2- R4+ D4+ L2- ALL6+,8,UL1+ D5+ L2+ y2 ul3- dl4- ur1- UL2+ DR4-
DrammenOpen2026,8.33,1,A,4,UR6+ DR1- DL4- UL0+ U2+ R1+ D5+ L5+ ALL3+ y2 U0+ R4+ D0+ L3+ ALL2-,9,UR4+ DR1+ DL1- R1+ ALL2+ y2 dr3- R4- L3- /5+
DrammenOpen2026,8.33,1,A,5,UR2- DR1+ DL4+ UL5+ U5- R0+ D5- L5+ ALL1+ y2 U3+ R5- D5- L0+ ALL3-,8,UR1+ U1+ L2- ul4- y2 U3- DR5+ /1+ \5-
NZSouthIslandChamps2026,8.33,d,A,1,UR4- DR5+ DL5+ UL4- U4- R4+ D0+ L4+ ALL3+ y2 U1- R1- D0+ L3+ ALL1+,7,DR5- DL5- dr5- dl4- ALL2- y2 L3- UR1+
NZSouthIslandChamps2026,8.33,d,A,2,UR5- DR3+ DL3- UL5+ U4- R3- D3- L2- ALL3- y2 U1+ R5+ D3+ L2- ALL3-,9,UR5+ U1- D3+ dr5+ ul3+ y2 R2- U1- L2+ DR3-
NZSouthIslandChamps2026,8.33,d,A,3,UR3+ DR2+ DL2- UL0+ U2+ R5- D2- L2+ ALL5+ y2 U2+ R3+ D1+ L5+ ALL3-,9,U5- D2+ ul2+ \4- y2 ul2- D1- R3- U3+ UL5-
NZSouthIslandChamps2026,8.33,d,A,4,UR3- DR3+ DL3- UL5+ U3- R0+ D0+ L3- ALL3+ y2 U3- R3- D3+ L3- ALL3+,6,UL1+ /3+ \3- y2 D3- L3+ UR3+
NZSouthIslandChamps2026,8.33,d,A,5,UR3- DR5+ DL1+ UL3- U1- R0+ D6+ L2+ ALL2- y2 U1- R4- D5- L5+ ALL3-,9,UR2- U3- y2 dl3+ dr4- R4+ U1- UL2+ DL5+ /1-
MumbaiSummerCubeFiesta2026,8.33,c,A,1,UR4+ DR0+ DL0+ UL1- U3- R4- D2- L1- ALL5+ y2 U3+ R1- D6+ L2+ ALL6+,7,DL2+ y2 dr6+ D4+ UL2- DR2+ UR1- ALL1-
MumbaiSummerCubeFiesta2026,8.33,c,A,2,UR1+ DR3+ DL0+ UL3+ U4- R3+ D4+ L3- ALL2+ y2 U1+ R4- D4- L4- ALL4+,7,DR5+ /4+ ALL6- y2 dr1- R5+ DL4+ UR1-
MumbaiSummerCubeFiesta2026,8.33,c,A,3,UR3+ DR1- DL5- UL1+ U5- R5- D3- L2- ALL3- y2 U4- R0+ D6+ L0+ ALL2-,9,UR3+ DL3- UL2- L1- /1- y2 ul4- dr6+ D6+ U4+
MumbaiSummerCubeFiesta2026,8.33,c,A,4,UR3- DR4+ DL5- UL3+ U2- R3- D5- L2+ ALL1+ y2 U4- R0+ D4+ L1- ALL3-,9,UR2+ D6- y2 ul5+ dl1+ dr1+ D4- U4+ L1+ \4-
MumbaiSummerCubeFiesta2026,8.33,c,A,5,UR1+ DR1- DL1+ UL3+ U2- R2+ D3- L4- ALL3- y2 U2- R4- D1- L5+ ALL4-,9,UR2- D3+ ul6- ALL1- y2 ur5- L4- UL1- DR1+ UR3+
McBajaII2026,8.33,d,A,1,UR1+ DR6+ DL1- UL6+ U0+ R4+ D6+ L6+ ALL5- y2 U1- R2+ D1- L1- ALL5+,8,DL1+ U5+ R1+ /6- y2 D1+ R2- UL1+ ALL4-
McBajaII2026,8.33,d,A,2,UR4- DR6+ DL3- UL4+ U3+ R1- D1+ L1- ALL0+ y2 U0+ R4+ D1+ L3- ALL1-,9,DR3- U3- R2+ D1- y2 dl4- dr5+ DL3+ DR4- /1-
McBajaII2026,8.33,d,A,3,UR2+ DR2+ DL1+ UL2- U4+ R1- D5+ L4- ALL0+ y2 U1- R5+ D3- L0+ ALL1+,10,DL4+ U4- R3- L1+ ul5+ \2+ y2 R3+ DR3+ UR1+ \3+
McBajaII2026,8.33,d,A,4,UR6+ DR3- DL4- UL3- U3- R5+ D3+ L2- ALL0+ y2 U5+ R3- D4- L0+ ALL1-,8,DR4+ L3- y2 dl1- dr6+ D4- DR4- UR5- \1-
McBajaII2026,8.33,d,A,5,UR5+ DR0+ DL5+ UL3+ U2- R6+ D4- L2- ALL5- y2 U2+ R2+ D4- L4+ ALL3+,8,DR1- UL6- R2+ /1- y2 D4+ L4- UR2- /5-
BrownCountyBlitz2026,8.33,d,B,1,UR1- DR3- DL4+ UL2- U5- R5- D5+ L3+ ALL0+ y2 U2+ R5- D2- L2+ ALL5+,9,UR1- DR2- DL4- UL3- L2+ y2 D2+ R5+ UL2- \5+
BrownCountyBlitz2026,8.33,d,B,2,UR0+ DR4+ DL0+ UL2+ U5- R6+ D6+ L3+ ALL6+ y2 U5+ R1+ D4- L2- ALL4+,8,DR2+ U3+ L5- /2+ y2 R1- U5- L2- DL4+
BrownCountyBlitz2026,8.33,d,B,3,UR5- DR1+ DL5- UL5+ U2+ R0+ D4+ L6+ ALL1+ y2 U6+ R5+ D5+ L3+ ALL0+,8,UR4+ UL6- dl5+ y2 dl2+ L3+ UL6+ DR5- \1-
BrownCountyBlitz2026,8.33,d,B,4,UR5- DR3- DL3- UL1+ U2- R1- D0+ L4+ ALL0+ y2 U1+ R1+ D1+ L2- ALL1-,9,UR5+ DR4+ DL2+ U1+ L4- /1+ y2 U1- L2+ DR1-
BrownCountyBlitz2026,8.33,d,B,5,UR3+ DR0+ DL4+ UL3+ U0+ R3+ D4+ L5- ALL3- y2 U6+ R1- D5+ L0+ ALL1+,8,UR6- D4+ L2- dr3- \3- ALL1+ y2 DR5- UR6+
McBajaI2026,8.33,1,A,1,UR4- DR0+ DL3+ UL6+ U5- R5+ D5+ L4+ ALL1- y2 U0+ R3- D3- L5+ ALL4-,8,UR4+ UL1- R5- D4+ ALL3- y2 dl5- L5- DR3+
McBajaI2026,8.33,1,A,2,UR6+ DR1+ DL6+ UL6+ U2+ R6+ D1+ L3- ALL1- y2 U0+ R0+ D6+ L3+ ALL2-,9,UR1- DL4+ UL1- ur2- y2 dl4- dr5- D6+ L3- \1-
McBajaI2026,8.33,1,A,3,UR2- DR2+ DL3- UL3+ U5+ R4- D3- L2+ ALL2+ y2 U3+ R4+ D3- L5+ ALL4+,10,DR4+ UL2- U4- ul2+ \2- y2 dl4- L3+ DL4+ DR1- UR3-
McBajaI2026,8.33,1,A,4,UR0+ DR4- DL0+ UL0+ U5- R1- D5+ L5- ALL0+ y2 U5- R2+ D5- L5- ALL5+,8,UR5+ D1- L5+ ul4- ALL5+ y2 D5+ R2- UL5+
McBajaI2026,8.33,1,A,5,UR2- DR0+ DL1- UL1- U4+ R2+ D4- L2- ALL3+ y2 U3- R1+ D1- L1- ALL6+,8,UR1- DR1+ DL4+ \3- y2 ul6+ U4+ DL1+ UR1-
SingaporeWarmUpJanuary2026,8.33,d,A,1,UR2+ DR1+ DL4- UL2- U0+ R6+ D3+ L2- ALL6+ y2 U0+ R1+ D5+ L1- ALL3-,8,R3+ L4- dr2- dl5+ y2 D5- DL1+ DR1- /3+
SingaporeWarmUpJanuary2026,8.33,d,A,2,UR4- DR3+ DL1- UL0+ U3+ R4+ D4+ L2+ ALL3+ y2 U2+ R5+ D6+ L1- ALL1+,10,UR1+ DR4- DL2- L1+ \2+ y2 dr5+ U2- L2+ DL1- DR5-
SingaporeWarmUpJanuary2026,8.33,d,A,3,UR4- DR4- DL5+ UL4- U1- R2+ D5+ L2+ ALL2- y2 U4+ R0+ D4- L2+ ALL1+,8,DR6- UL3- ur5+ dr5+ y2 D2+ UL4- DL2+ ALL3-
SingaporeWarmUpJanuary2026,8.33,d,A,4,UR4+ DR4- DL3+ UL4- U3- R3- D5+ L2+ ALL3- y2 U2- R2+ D2+ L1+ ALL0+,9,DL4- UL3+ R3+ dl4+ /3- y2 R3- DL1- DR1- UR2+
SingaporeWarmUpJanuary2026,8.33,d,A,5,UR0+ DR2- DL2+ UL2- U2- R1+ D2- L4+ ALL4+ y2 U4- R5- D3- L0+ ALL4+,8,DR1+ DL1+ UL4+ L3+ y2 ur1+ U2+ DR3+ UR2+
HongKongChampionship2025,8.33,d,B,1,UR5- DR4- DL0+ UL6+ U5+ R5- D1+ L1- ALL6+ y2 U2+ R1+ D1- L3+ ALL6+,9,UR1- DR3+ UL5- y2 dl1- dr4+ D2+ R1- UL2- DL1-
HongKongChampionship2025,8.33,d,B,2,UR1+ DR2- DL4+ UL3- U2+ R1+ D1- L2- ALL2+ y2 U5+ R5+ D0+ L2+ ALL3+,8,D1- L1+ /2- y2 ul3- dl4- L2- UR5- /1-
HongKongChampionship2025,8.33,d,B,3,UR6+ DR6+ DL5+ UL3- U5- R6+ D3+ L1+ ALL4- y2 U3+ R0+ D4+ L3+ ALL3+,9,DR6- DL5- UL2+ D3- dl3- y2 dl1+ D4- UL3- ALL5+
HongKongChampionship2025,8.33,d,B,4,UR5- DR2+ DL5+ UL2- U3+ R4+ D5+ L5- ALL2+ y2 U2- R3+ D2- L4- ALL6+,8,UL2+ U2+ R1- y2 R3- UL2+ DL2+ /5- ALL3+
HongKongChampionship2025,8.33,d,B,5,UR0+ DR4+ DL4+ UL5- U1- R4- D3- L5- ALL4- y2 U4+ R5+ D2- L5+ ALL4-,8,UL6- D5- dr1+ y2 ul3+ ur3+ U4- DL5- DR5-
HonoluluMegaaMakapo2025,8.33,c,A,1,UR4+ DR1+ DL4+ UL5- U4+ R4- D3+ L3- ALL5+ y2 U2+ R1+ D1+ L0+ ALL1+,9,DR1- UL4+ U5+ D5+ \2+ y2 D1- U1- UR1- /2-
HonoluluMegaaMakapo2025,8.33,c,A,2,UR2+ DR2- DL4+ UL2- U3- R6+ D2+ L5+ ALL4- y2 U3+ R4+ D2- L2+ ALL1+,10,UR3+ DR3+ DL5+ dr2- \5- y2 ur1- R6+ U1- UL2- DR2+
HonoluluMegaaMakapo2025,8.33,c,A,3,UR5- DR2+ DL6+ UL3+ U5- R3+ D5- L6+ ALL3- y2 U3- R0+ D6+ L1- ALL3+,8,UL3- U2- D3- \6- y2 ur2- D6+ U2+ UL1+
HonoluluMegaaMakapo2025,8.33,c,A,4,UR3+ DR3+ DL1- UL4+ U0+ R6+ D3- L2+ ALL4- y2 U5- R5- D1- L0+ ALL3-,8,DL1+ U5+ L6- dl3+ /1- y2 ur4- D1+ UR5+
HonoluluMegaaMakapo2025,8.33,c,A,5,UR5- DR3- DL0+ UL5- U2- R2+ D6+ L5+ ALL5+ y2 U4+ R1+ D3- L1+ ALL2-,8,DR1+ R5+ D4- /5- y2 dr1+ R1- UL4- DL3+
EyesOpenOpenOtautahi2025,8.33,1,B,1,UR0+ DR5- DL2+ UL1+ U6+ R1- D5- L4- ALL3- y2 U0+ R2- D4+ L5- ALL4-,8,U5+ R6- D4- L1+ /1+ y2 L1- DL6+ DR2+
EyesOpenOpenOtautahi2025,8.33,1,B,2,UR5- DR1- DL3- UL0+ U5+ R3+ D1- L2+ ALL4+ y2 U1+ R0+ D5+ L6+ ALL4+,8,DR4+ DL1+ R1- dl4- ul4- y2 ul2+ UL1- DL5-
EyesOpenOpenOtautahi2025,8.33,1,B,3,UR2- DR0+ DL4+ UL3- U5- R5+ D1+ L0+ ALL0+ y2 U1+ R5+ D0+ L0+ ALL5+,9,DR3- DL1- U2- D1- /3- \2- y2 ul5- R5- U1-
EyesOpenOpenOtautahi2025,8.33,1,B,4,UR4- DR0+ DL3+ UL0+ U4+ R2+ D3- L4+ ALL0+ y2 U5- R2- D0+ L4+ ALL1-,7,R2+ L5+ ALL1- y2 ul3- R2+ U3- UL4-
EyesOpenOpenOtautahi2025,8.33,1,B,5,UR5+ DR0+ DL5- UL5- U5+ R5+ D0+ L1- ALL5- y2 U2+ R1- D6+ L3- ALL2-,9,UR5- DL5+ R5- L6- y2 D3+ R3+ DL3+ UR2- \3+
WesternChampionship2025,8.33,d,A,1,UR6+ DR2+ DL3+ UL3+ U1+ R4- D5+ L2- ALL6+ y2 U0+ R5- D1+ L0+ ALL5-,8,UR6- DR2+ UL4- y2 ul3- ur5- D1- R5+ \1+
WesternChampionship2025,8.33,d,A,2,UR1- DR0+ DL4- UL1+ U5+ R1- D5+ L3- ALL0+ y2 U3+ R2- D2- L0+ ALL3+,9,DL1- UL5- R2+ dl2+ y2 ul4+ dl4+ U3- DR2+ /3+
WesternChampionship2025,8.33,d,A,3,UR0+ DR3- DL4- UL1+ U1- R1- D4- L4- ALL4+ y2 U3+ R4- D1- L5+ ALL3+,8,DR4+ DL5- /1+ y2 ul2- R3+ U3- L5- DR1+
WesternChampionship2025,8.33,d,A,4,UR2- DR2- DL3+ UL4- U1+ R4- D1+ L2+ ALL5+ y2 U4+ R3- D5+ L3- ALL1-,10,UR3- DR1- DL1- U4- ul3- y2 L3+ DR5- UR4- /5+ ALL1-
WesternChampionship2025,8.33,d,A,5,UR6+ DR0+ DL2- UL0+ U4- R5- D1- L0+ ALL4- y2 U5- R0+ D1- L0+ ALL2-,8,UR1- U1- D3+ L2+ dl5- y2 D1+ U5+ /2+
BurleySummer2025,8.33,d,B,1,UR1- DR3- DL2- UL1- U4- R1- D5+ L5+ ALL4- y2 U4- R5- D2+ L1- ALL0+,9,UR5+ UL2- U3+ y2 R5- L3- UL4+ DR2- \3+ ALL1-
BurleySummer2025,8.33,d,B,2,UR0+ DR0+ DL4+ UL2+ U4- R3- D3+ L4+ ALL4- y2 U3+ R3- D1+ L5- ALL3-,9,DR3+ DL2+ U2+ dr5+ ul2- y2 DL5+ DR6+ UR3- ALL1-
BurleySummer2025,8.33,d,B,3,UR3+ DR4+ DL1- UL3- U4- R1- D0+ L3- ALL5+ y2 U3- R2+ D1- L1- ALL1-,9,UR3- DR3- UL5- ur1- y2 dl4- R2- U3+ DL1+ ALL6+
BurleySummer2025,8.33,d,B,4,UR4+ DR4+ DL4- UL4- U0+ R3- D4- L4+ ALL5+ y2 U4+ R1+ D4- L4- ALL5+,7,DL4+ R5- dl1- y2 dr5- R3+ DL4+ UR4-
BurleySummer2025,8.33,d,B,5,UR4+ DR3- DL4+ UL4+ U1- R1- D1- L4+ ALL3- y2 U1+ R1+ D4- L1- ALL5-,7,U5+ /5+ ALL5- y2 L3- DL4+ UR1- /4-
EnergyCubeTomaszowMazowiecki2025,8.33,f,A,1,UR0+ DR4- DL4- UL4- U4+ R1+ D5+ L5+ ALL0+ y2 U5+ R2- D1+ L6+ ALL4+,8,DL3+ R3+ /3+ y2 R3+ U5- L6+ DR1- \5-
EnergyCubeTomaszowMazowiecki2025,8.33,f,A,2,UR5+ DR1- DL5- UL0+ U6+ R1- D0+ L1+ ALL3+ y2 U2+ R2- D2+ L5- ALL3-,10,DR3- U1+ D3- L4+ \5+ y2 U2- L3- DL4- DR2+ ALL1+
EnergyCubeTomaszowMazowiecki2025,8.33,f,A,3,UR5- DR2- DL0+ UL2- U5+ R2- D2+ L2+ ALL2- y2 U1+ R4+ D1+ L6+ ALL3-,9,UR2+ R5- dl3- ALL2- y2 R3- L5- DL1- UR1- \1+
EnergyCubeTomaszowMazowiecki2025,8.33,f,A,4,UR5+ DR3+ DL4- UL3+ U3- R3- D3- L2- ALL5- y2 U3- R0+ D1+ L2+ ALL3+,8,UR5- DL4+ L1- ALL1- y2 D1- U3+ L2- \3-
EnergyCubeTomaszowMazowiecki2025,8.33,f,A,5,UR3- DR2- DL5+ UL6+ U4+ R3- D5- L2+ ALL2- y2 U2+ R2+ D0+ L5+ ALL5-,8,UR6- DR2+ UL1- \3+ y2 ul2- dl5+ L5- UR2-
USMPenangCube2025,8.33,c,B,1,UR0+ DR3- DL1+ UL1+ U1- R2- D6+ L1- ALL6+ y2 U5+ R5+ D3+ L4+ ALL2-,8,DL1- R5+ D3- ALL4+ y2 dl6+ L1- DL3- UR5-
USMPenangCube2025,8.33,c,B,2,UR4+ DR6+ DL0+ UL0+ U4- R3+ D3- L1+ ALL1+ y2 U2+ R4- D4- L3+ ALL1-,9,DR1- DL1- D1- \5- y2 ur5- U1+ UL3- DR4+ ALL5-
USMPenangCube2025,8.33,c,B,3,UR4+ DR2+ DL4- UL5- U4+ R0+ D0+ L2- ALL2- y2 U6+ R5+ D3+ L2+ ALL5+,11,UR3- DR3- D5+ L1- \5+ y2 ul3- dr3+ D2- UL1- DL1- UR5-
USMPenangCube2025,8.33,c,B,4,UR3+ DR1- DL4- UL4- U1+ R1- D4+ L0+ ALL1- y2 U0+ R3- D0+ L6+ ALL3+,8,DR3- DL4+ R2+ L4+ /4- y2 dr3- R3+ L6+
USMPenangCube2025,8.33,c,B,5,UR1+ DR2+ DL3- UL1- U0+ R2- D5- L6+ ALL5+ y2 U1+ R2- D4- L4- ALL4+,8,DR1- DL5- L3+ y2 L3+ DL1+ DR3+ UR1- /1-
UIUCSideEventsSpring2025,8.33,c,B,1,UR2+ DR5- DL2+ UL0+ U4- R5+ D2- L1- ALL3+ y2 U3+ R1- D5- L3+ ALL3+,9,DR5+ DL1- U2+ R5+ D1+ y2 dr5- D4+ UL3- DR1+
UIUCSideEventsSpring2025,8.33,c,B,2,UR3- DR3+ DL0+ UL1+ U3- R3- D6+ L1- ALL3- y2 U4- R4+ D1- L3+ ALL3+,8,DR3+ U5+ /5- y2 D1+ R1+ UL3- UR5- \1+
UIUCSideEventsSpring2025,8.33,c,B,3,UR3+ DR3- DL0+ UL0+ U2+ R1+ D1+ L0+ ALL4+ y2 U2+ R3+ D1- L1+ ALL5+,8,UR5- DR4+ D2- ALL5- y2 R3- UL2- DL1+ ALL6+
UIUCSideEventsSpring2025,8.33,c,B,4,UR2- DR6+ DL6+ UL5- U5- R1+ D0+ L5+ ALL5+ y2 U2+ R5+ D6+ L4- ALL1+,8,R5- L6- y2 ul6+ dl5+ R5- UL2- DL6+ ALL4+
UIUCSideEventsSpring2025,8.33,c,B,5,UR2- DR5+ DL5+ UL6+ U3- R3+ D0+ L6+ ALL4+ y2 U5+ R2- D2+ L5+ ALL3+,9,UR1- DR5- DL5- ALL1- y2 dl6+ dr2- D2- R2+ UL5-
