competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,optimal_tickcount,tickcount_solution
ForgottenOClocksSBC2026,19.67,2,A,0,1,UR0+ DR2- DL2+ UL2+ U0+ R5+ D6+ L2+ ALL3- y2 U2+ R1+ D1+ L2+ ALL4-,20,UR2- DL6- R1- ul3- y2 ul3+ dl1- UL2- DR1- \1-
ForgottenOClocksSBC2026,19.67,2,A,0,2,UR3- DR5+ DL2- UL5+ U6+ R5- D4- L4- ALL3- y2 U3+ R4+ D0+ L1- ALL4+,19,UR3+ DL1+ U1+ y2 ul1+ R4- U3- L1+ \5-
ForgottenOClocksSBC2026,19.67,2,A,0,3,UR2- DR5- DL3- UL3+ U3- R5+ D5+ L0+ ALL3+ y2 U4+ R3+ D6+ L6+ ALL4+,20,DR2+ U2+ D1+ dr3+ ALL1+ y2 dr1- U1- UL3- DL3- DR3-
ForgottenOClocksSBC2026,19.67,2,A,0,4,UR3- DR1- DL1- UL1- U3- R0+ D1+ L1- ALL2+ y2 U1- R5- D2+ L2- ALL0+,21,UR4+ DL1+ UL2+ U1+ ALL1- y2 R5+ L3+ UL1+ DL2- \1-
ForgottenOClocksSBC2026,19.67,2,A,0,5,UR6+ DR3+ DL1- UL5- U5+ R4- D0+ L6+ ALL4- y2 U4- R4+ D1- L1+ ALL3+,25,UR6- R1+ D2- /3+ ALL2- y2 ul1+ D1+ R4+ L1- UR4+
ForgottenOClocksSBC2026,19.67,2,A,1,1,UR0+ DR0+ DL5+ UL1+ U1- R1- D1- L0+ ALL5- y2 U3- R2- D2- L0+ ALL2+,17,DL4- R1+ L2- ALL5- y2 D1+ U2+ DR1+ UR1+
ForgottenOClocksSBC2026,19.67,2,A,1,2,UR2- DR4+ DL3- UL2+ U1+ R5- D5- L5- ALL3- y2 U1+ R2- D2+ L2- ALL4-,29,UR1- DR4+ L6- ur3- ul2- y2 L5- UL3- DL2- UR2+ ALL1+
Cube4funinBialaPodlaska2024,20.0,d,B,0,1,UR4+ DR5+ DL3- UL4- U4+ R3- D0+ L2+ ALL2+ y2 U0+ R3- D5+ L3- ALL6+,28,UR4+ DR2- UL4+ R4+ L1+ ur2- \4- y2 D1+ DL3+ DR3+
Cube4funinBialaPodlaska2024,20.0,d,B,0,2,UR5+ DR3- DL2+ UL0+ U2- R5+ D1+ L1- ALL3+ y2 U3+ R6+ D4+ L3- ALL4-,30,DR5+ DL1- U3- D4- \5+ y2 U1- L3+ DR4- UR2- \2-
Cube4funinBialaPodlaska2024,20.0,d,B,0,3,UR3+ DR4- DL1+ UL3- U3- R1- D6+ L3+ ALL2- y2 U2+ R3- D0+ L4+ ALL3+,20,UR3+ DR1- DL1- D1- y2 dr2+ R1+ UL4- UR2+ \5+
Cube4funinBialaPodlaska2024,20.0,d,B,0,4,UR4+ DR5+ DL1- UL4- U2- R6+ D3+ L3+ ALL1- y2 U4+ R2+ D3- L1+ ALL4+,27,UR2+ DR5- DL2- L4+ y2 dr1+ D1+ L1- DR2+ UR4- /5+
Cube4funinBialaPodlaska2024,20.0,d,B,0,5,UR4+ DR5- DL4+ UL1- U2- R0+ D2- L5- ALL1+ y2 U1+ R3- D4- L2+ ALL2+,20,UR2- DR3+ U1+ L2+ dl2+ y2 D2+ DL2- DR4+ UR1- ALL1-
Cube4funinBialaPodlaska2024,20.0,d,B,1,1,UR3- DR3+ DL1+ UL3- U1- R5+ D1- L2+ ALL6+ y2 U1- R1+ D1- L4- ALL4+,20,UR5- D3- dr3- \2+ y2 dr1- D1- UL1+ DL3+ DR1-
Cube4funinBialaPodlaska2024,20.0,d,B,1,2,UR2- DR3- DL1+ UL4- U2- R3- D5+ L5- ALL1- y2 U0+ R0+ D4- L2- ALL6+,20,DR3- UL4- R1- dl3- \1+ y2 D2+ DL2+ \4-
SCMU2016,20.0,d,D,0,1,UR2+ DR0+ DL2+ UL1- U5- R1- D4+ L2+ ALL5- y2 U1+ R5- D4- L1+ ALL5- UR DL,24,DR1- DL5- UL2+ U2+ ur4+ y2 dl1- dr2- U1- DL1- DR5+
SCMU2016,20.0,d,D,0,2,UR2+ DR1- DL3+ UL1- U4+ R5- D1- L3- ALL4- y2 U1+ R2- D1- L3+ ALL0+ DR DL UL,21,UR3- DR1- U2- R4- L1+ ALL3+ y2 ul1- L1- UL1- DL1- DR2+ \1+
SCMU2016,20.0,d,D,0,3,UR5+ DR2+ DL5- UL4+ U5- R5- D2+ L3+ ALL0+ y2 U1+ R0+ D2- L0+ ALL1+ DL UL,19,UR1- DL1+ UL3- R1- ur2- dl5- \2- y2 D1+ UL1- DL1+ \1-
SCMU2016,20.0,d,D,0,4,UR5+ DR2+ DL2+ UL1- U0+ R5+ D6+ L1+ ALL5+ y2 U5- R3- D1+ L2- ALL2+ UR UL,22,DL2+ UL4- ur1+ y2 dl4- ur2- D1- UL2+ UR3+ /3-
SCMU2016,20.0,d,D,0,5,UR1+ DR4+ DL5- UL0+ U4- R0+ D4+ L4+ ALL2- y2 U4- R5+ D6+ L5+ ALL1+ UR DR UL,29,UR3+ DR4- DL1+ R4- ALL2+ y2 ul1- D1- L3+ UL4+ DR5- ALL1-
SCMU2016,20.0,d,D,1,1,UR2- DR0+ DL2- UL6+ U6+ R1- D2- L3- ALL5+ y2 U4- R6+ D1+ L0+ ALL2+ UR DR DL,20,UR2+ DR1+ D3+ L1- y2 ul2+ dl1- D1- R2+ UR4+ \1- ALL2+
SCMU2016,20.0,d,D,1,2,UR4- DR2- DL1+ UL4- U6+ R5- D2+ L3+ ALL4+ y2 U1+ R2- D2+ L3+ ALL4+ DR DL,15,UR1+ DL1- UL1+ R2- y2 dl3+ dr2+ R2+ UL1- DL2-
NZNorthIslandChampionship2025,20.33,f,A,0,1,UR1+ DR1- DL5+ UL4+ U4- R1- D4- L5+ ALL2- y2 U3- R5- D1+ L0+ ALL5-,15,DR1+ DL1- UL1- dl2- y2 ul1- D1- R2+ UR3+ /3-
NZNorthIslandChampionship2025,20.33,f,A,0,2,UR2+ DR1+ DL6+ UL6+ U4- R4- D5- L0+ ALL5- y2 U3+ R1+ D2+ L1+ ALL6+,26,UR1+ DL2- UL2+ U5+ /3- y2 ur4- D2- U1- UL1- UR1- /4-
NZNorthIslandChampionship2025,20.33,f,A,0,3,UR2+ DR0+ DL5+ UL0+ U4+ R6+ D4+ L1+ ALL2- y2 U4- R0+ D4- L5+ ALL2+,31,UR4+ DL3+ UL2+ L1+ dl2- \4- y2 dl2- D4+ U4+ L5-
NZNorthIslandChampionship2025,20.33,f,A,0,4,UR4- DR1+ DL2+ UL4- U2+ R1- D4+ L0+ ALL1- y2 U3+ R0+ D1- L1+ ALL2-,18,UR4+ UL2+ D5+ ul1+ \1+ y2 R1+ UL1- DR1+ UR2-
NZNorthIslandChampionship2025,20.33,f,A,0,5,UR6+ DR0+ DL2+ UL0+ U2+ R1- D2- L5+ ALL0+ y2 U5+ R4- D3+ L3+ ALL6+,29,UR1- UL5+ R4- y2 dl2+ L3- DR3- UR5- /5- ALL1+
NZNorthIslandChampionship2025,20.33,f,A,1,1,UR4+ DR0+ DL6+ UL2- U2- R1- D4- L4- ALL1- y2 U3- R0+ D2- L3- ALL1+,17,UR1- DR2- U1+ ur6- y2 D2+ UL3+ \2+
NZNorthIslandChampionship2025,20.33,f,A,1,2,UR0+ DR3+ DL3+ UL5+ U0+ R2+ D5- L5+ ALL1- y2 U6+ R6+ D6+ L5+ ALL5+,30,UR5- DL1- ur4- ul2- y2 U1- UL5- DR6+ \5- ALL1+
CarolinaClockStravaganza2017,20.33,2,B,0,1,UR3+ DR2- DL2+ UL4- U5- R0+ D3+ L1- ALL1+ y2 U0+ R3+ D4+ L5- ALL2- DL,23,DR1- UL3+ U3+ D2- y2 dl1+ R2- L4- DL3- DR1- /3-
CarolinaClockStravaganza2017,20.33,2,B,0,2,UR3+ DR1+ DL3+ UL5- U5- R2- D3- L4+ ALL2- y2 U5- R3- D0+ L1+ ALL2- DR UL,19,UR1- DR1- UL2- U2- y2 ul3- dr2- R2- L1- UR5+
CarolinaClockStravaganza2017,20.33,2,B,0,3,UR0+ DR5- DL0+ UL5+ U5+ R1+ D1+ L5- ALL6+ y2 U4+ R6+ D1+ L4+ ALL5+ UR DR DL,20,DR4+ U2+ dr1- ALL1- y2 U2+ L3- DL1- UR6+
CarolinaClockStravaganza2017,20.33,2,B,0,4,UR3- DR1+ DL5- UL5+ U4- R2+ D0+ L4- ALL6+ y2 U3- R3- D3+ L1- ALL4-,22,DL4+ U2+ \3- ALL1- y2 ul2- dl2- D4- DL1+ UR3+
CarolinaClockStravaganza2017,20.33,2,B,0,5,UR1+ DR6+ DL5- UL2- U4+ R3+ D4- L4- ALL4+ y2 U4- R1+ D5+ L4+ ALL3- UL,28,UR1- DR3+ UL1- U1- ul2+ /5- y2 dl2+ L4- DR5- UR4+
CarolinaClockStravaganza2017,20.33,2,B,1,1,UR5- DR1+ DL2- UL1+ U3+ R6+ D1- L4+ ALL0+ y2 U1+ R1- D2- L3- ALL3+ UR DL UL,19,UR1+ R3- D2+ L3- dl1- \3- y2 dl1- U1- L2+ DL1+ DR1+
CarolinaClockStravaganza2017,20.33,2,B,1,2,UR5- DR5+ DL5- UL3- U4+ R2- D5- L3+ ALL3+ y2 U6+ R3- D1+ L1+ ALL1+ DL UL,29,UR4+ DL5+ R2- /6- ALL4+ y2 dr1+ U3+ DL1- UR3+
CarolinaClockStravaganza2017,20.33,2,B,1,3,UR2- DR5+ DL3+ UL3- U3+ R5+ D1- L1+ ALL1- y2 U1+ R6+ D4- L4- ALL0+ DR DL UL,27,UR2+ DR5+ R3- L1- ALL1- y2 ul1+ R3+ L4+ DR4+ UR1- \2+
IndianNationals2014,20.33,f,B,0,1,UR0+ DR0+ DL0+ UL1+ U2+ R0+ D1- L2+ ALL1+ y2 U2- R2+ D2+ L4+ ALL2+ UR,19,DL1+ UL1- U2- L3- y2 ul3- U2+ L4- DR2- ALL1-
IndianNationals2014,20.33,f,B,0,2,UR3- DR5- DL2+ UL4- U3+ R4+ D5+ L4+ ALL4- y2 U1- R3- D0+ L6+ ALL1- UR DR UL,21,UR4+ DL2- dr1- /3- y2 ur2+ R3+ L5+ UL1+
IndianNationals2014,20.33,f,B,0,3,UR0+ DR4- DL2- UL1- U3- R4+ D3- L5+ ALL4- y2 U5- R3+ D3+ L0+ ALL2- DL UL,21,DL1- U4+ D2- L1- ul2- /2- y2 dl1- U5+ DR3-
IndianNationals2014,20.33,f,B,0,4,UR1+ DR3+ DL4- UL2+ U1- R0+ D5+ L3+ ALL5- y2 U1- R5+ D6+ L0+ ALL6+ UR DR UL,16,UR2- DR2- DL2- L1+ /1+ y2 dr1+ DR6+ UR1+
IndianNationals2014,20.33,f,B,0,5,UR4- DR3+ DL5+ UL2- U3+ R1+ D3- L5- ALL3+ y2 U3- R4+ D4- L4+ ALL4- UR DL,28,UL2+ U1+ D5- \3+ ALL2- y2 ur1+ R4- L1+ UL3+ DL4+ /2-
IndianNationals2014,20.33,f,B,1,1,UR2+ DR0+ DL2- UL5+ U2- R3+ D5- L6+ ALL5- y2 U2+ R5+ D4+ L2+ ALL4- UR DL,25,DR5- UL4+ U3+ L1- ul2- /1- y2 dr2- R1- DL2- DR2- UR2-
IndianNationals2014,20.33,f,B,1,2,UR4+ DR3+ DL2+ UL1- U6+ R1+ D4- L6+ ALL4- y2 U0+ R4+ D3+ L1- ALL1- UR DL UL,26,DL1- UL3+ R4+ L3+ /2+ y2 ul1- DL1+ DR4- /4- ALL3+
TallinnSpring2025,20.67,c,A,0,1,UR3+ DR5- DL1- UL5+ U4- R2- D2- L4- ALL1- y2 U3+ R0+ D0+ L1+ ALL2-,19,UR4- DR4- dr4+ ul2+ /1+ y2 ul1+ U2- UL1-
TallinnSpring2025,20.67,c,A,0,2,UR1+ DR6+ DL4- UL2- U1- R5+ D6+ L1+ ALL2+ y2 U4- R0+ D2+ L1+ ALL0+,21,DL4+ UL2+ L1- ul5- ALL2- y2 dr1- D1- U4+ DL1-
TallinnSpring2025,20.67,c,A,0,3,UR2+ DR4- DL5- UL6+ U2- R1- D6+ L2+ ALL2- y2 U3+ R4+ D5+ L2+ ALL3-,25,DL3+ UL6- R3+ ul2- y2 dr1- R1- U3- DL2- DR3- /1-
TallinnSpring2025,20.67,c,A,0,4,UR4+ DR1- DL1- UL1- U5- R4+ D0+ L1+ ALL6+ y2 U1+ R2- D5- L5- ALL2-,22,UR2+ DR3+ D1- L1+ y2 dr2+ L3+ DL2+ DR3+ UR1- /4+
TallinnSpring2025,20.67,c,A,0,5,UR2- DR4- DL1- UL1- U6+ R2- D6+ L0+ ALL5+ y2 U2+ R4- D4+ L0+ ALL2+,27,UR3- DR1- L2+ ul5- y2 dl1- dr4- R2- DR4- UR2- /3-
TallinnSpring2025,20.67,c,A,1,1,UR4+ DR3+ DL6+ UL4+ U5- R6+ D3+ L2+ ALL3+ y2 U3+ R0+ D0+ L3+ ALL5-,17,UR1- U2- ul1+ y2 dl2- UL3- /6+ \2-
TallinnSpring2025,20.67,c,A,1,2,UR1- DR3+ DL3- UL2+ U5+ R5- D6+ L1- ALL6+ y2 U5- R4- D0+ L2+ ALL4-,27,UR1- DR4+ DL2+ U5- y2 ul1+ ur3+ U3+ UL2- UR4+ \2+
Rosario2024,20.67,f,A,0,1,UR0+ DR0+ DL3- UL0+ U0+ R1+ D6+ L5+ ALL5+ y2 U3+ R5+ D0+ L4- ALL5+,21,DR1- DL2- dr1+ y2 ul5+ dl2- ur1+ R2- L4+ UR3-
Rosario2024,20.67,f,A,0,2,UR2+ DR5+ DL5- UL4+ U1- R3- D4- L4+ ALL2- y2 U5+ R4- D0+ L4- ALL6+,29,DL4+ UL5+ U2+ R4- /5+ y2 L1+ UL3+ UR4+ /1+
Rosario2024,20.67,f,A,0,3,UR6+ DR2- DL4+ UL5+ U4- R2+ D0+ L6+ ALL5- y2 U5+ R4- D0+ L1- ALL2+,26,UR6- DL2- UL1- ur2+ ALL5- y2 ur2+ U3+ L1+ UR4+
Rosario2024,20.67,f,A,0,4,UR4+ DR6+ DL1+ UL2- U5- R5+ D2+ L2- ALL4- y2 U1- R1- D2- L2- ALL4-,21,DR4- UL3+ R1+ D5- y2 ul1- dr4- DL2+ UR1+
Rosario2024,20.67,f,A,0,5,UR4- DR3+ DL4- UL4+ U3+ R1+ D3- L2- ALL2+ y2 U1- R2- D1- L3+ ALL1+,20,DL4+ UL2- U1- ALL1- y2 ur2- U3+ UL4- DL1+ UR2+
Rosario2024,20.67,f,A,1,1,UR6+ DR1- DL1+ UL3- U3+ R4+ D5+ L4+ ALL3- y2 U6+ R2+ D4- L5+ ALL6+,29,UR3+ UL1+ U2+ D5- L3- ALL2- y2 D5+ UL4- DL1- UR2- /1-
Rosario2024,20.67,f,A,1,2,UR0+ DR6+ DL3- UL4+ U5+ R5+ D4- L6+ ALL5+ y2 U2- R0+ D2+ L3+ ALL5-,20,DR1+ UL5+ U2- /3- ALL1- y2 ul3+ U2+ L1- DL2-
PribramCube2024,20.67,f,A,0,1,UR0+ DR4+ DL0+ UL3- U4+ R3- D2+ L4- ALL1+ y2 U2+ R1- D6+ L0+ ALL1+,23,DR1- DL5- U1- ur3+ ul3+ y2 D2+ U1+ DR4+ UR3-
PribramCube2024,20.67,f,A,0,2,UR4- DR2- DL3- UL1+ U4+ R5+ D5+ L6+ ALL0+ y2 U2- R4- D4- L4- ALL5-,21,UL1- R1+ L3- ul2- \5+ y2 dr1- L2+ UL2+ DR4+
PribramCube2024,20.67,f,A,0,3,UR1- DR3+ DL6+ UL1- U3+ R3+ D5+ L2- ALL3+ y2 U3+ R3+ D1+ L0+ ALL2+,20,DL2- UL1- R5- /1+ y2 ul4- dr1+ ur2- D1- UR3-
PribramCube2024,20.67,f,A,0,4,UR5+ DR4- DL6+ UL2+ U4+ R0+ D5- L2+ ALL3+ y2 U3- R1+ D4+ L0+ ALL2+,21,UR1- DR1+ DL2+ U2+ R1- ur4- y2 dl2- UL3+ DL3- DR1- /1-
PribramCube2024,20.67,f,A,0,5,UR3+ DR1+ DL5+ UL2- U3- R1- D1- L1+ ALL3+ y2 U0+ R2+ D1- L1- ALL4+,18,DL5- UL2+ R3- L1- ALL1+ y2 dr3- R2- DL1+
PribramCube2024,20.67,f,A,1,1,UR4- DR5- DL4+ UL3+ U6+ R4- D3- L4+ ALL1- y2 U0+ R4+ D5+ L0+ ALL2-,25,DL4+ UL3- U2- R1+ y2 dr4+ ur5+ D1- DR4- ALL1+
PribramCube2024,20.67,f,A,1,2,UR5+ DR6+ DL0+ UL2+ U4- R2+ D2+ L1- ALL3+ y2 U1- R2- D1- L3+ ALL3-,27,UR1- DL1+ UL2- D3+ dr2+ /6- y2 dl3- dr4- L3- DR1+ UR1+
QuezonCityOpenII2024,20.67,c,A,0,1,UR2- DR3- DL1- UL5+ U4+ R1+ D5+ L5- ALL0+ y2 U4+ R2+ D0+ L0+ ALL5-,21,DL1- UL2+ U3+ R4+ y2 U2- UR2- /2+ \3+ ALL2-
QuezonCityOpenII2024,20.67,c,A,0,2,UR4- DR4+ DL2- UL1- U2- R2+ D5- L2- ALL1+ y2 U5+ R3- D4- L5- ALL5-,33,DR2- DL5+ U5- ur1- y2 ur2- L3- UL4- DR4+ UR1- ALL6+
QuezonCityOpenII2024,20.67,c,A,0,3,UR0+ DR3+ DL6+ UL0+ U2- R3- D3+ L1+ ALL6+ y2 U2+ R3- D3- L4+ ALL1-,21,UL2+ L3+ /3+ \2+ y2 ul1- dl1+ L2- UL2- DR3+ ALL2+
QuezonCityOpenII2024,20.67,c,A,0,4,UR6+ DR4- DL0+ UL6+ U3- R1- D2+ L1- ALL4+ y2 U2+ R2- D3+ L4- ALL5+,25,UL5- U4- R1- D2+ /1- y2 dr1+ U1+ UL5- DL3- UR2+
QuezonCityOpenII2024,20.67,c,A,0,5,UR0+ DR5+ DL0+ UL5+ U2- R5+ D2- L2+ ALL4+ y2 U5- R6+ D1- L5- ALL4-,28,UR1+ DL3- UL4- R1+ y2 ur4- R5+ UL4+ DL1+ UR1+ /3+ ALL1-
