competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,cspobl_slicecount,cspobl_solution
BilbaoOpen2025,5.67,f,A,0,3,"(0,2) / (3,0) / (-3,0) / (-2,-5) / (3,0) / (3,0) / (5,0) / (-3,0) / (4,-1) / (6,-2) / (-2,0) / (-4,0)",8,"(4,0)/(2,0)/(0,-4)/(0,-4)/(4,1)/(2,3)/(3,0)/(4,3)/(2,0)"
BilbaoOpen2025,5.67,f,A,0,4,"(0,2) / (0,3) / (1,4) / (0,-3) / (-3,-3) / (6,0) / (-4,0) / (-3,-3) / (2,0) / (-5,0) / (0,-3) / (-2,0) / (-2,0)",6,"(-4,-2)/(4,2)/(2,0)/(3,0)/(3,3)/(2,0)/(3,-2)"
BilbaoOpen2025,5.67,f,A,0,5,"(0,-1) / (-3,-3) / (-2,-5) / (3,0) / (5,-1) / (0,-3) / (-2,0) / (-3,-3) / (-5,-4) / (-2,-4) / (-2,-4) /",7,"(2,2)/(2,2)/(4,0)/(3,2)/(3,3)/(2,0)/(-3,6)/(3,-2)"
BilbaoOpen2025,5.67,f,A,1,1,"(4,0) / (5,2) / (0,-3) / (6,0) / (0,-5) / (-3,0) / (-2,0) / (0,-1) / (4,0) / (-3,0) / (-2,-3) / (-1,-5) / (6,0)",8,"(3,0)/(2,-1)/(1,-2)/(-2,3)/(-1,0)/(-2,0)/(0,-3)/(2,-3)/(3,-2)"
BilbaoOpen2025,5.67,f,A,1,2,"(0,2) / (6,3) / (-2,4) / (3,0) / (0,-3) / (3,-1) / (0,-3) / (-1,0) / (-2,-4) / (2,0) / (0,-4) / (4,0) / (0,-4)",8,"(2,-2)/(4,0)/(3,2)/(4,1)/(2,3)/(-1,0)/(-3,0)/(-5,3)/(2,0)"
IsraelChampionship2025,5.67,d,A,0,1,"(4,0) / (2,-1) / (-2,1) / (0,-3) / (-3,-3) / (-1,0) / (0,-3) / (4,-1) / (0,-4) / (0,-3) / (-2,-2) / (-2,-4) /",7,"(4,2)/(-1,2)/(4,-1)/(-2,1)/(-4,0)/(3,2)/(3,3)/(2,-2)"
IsraelChampionship2025,5.67,d,A,0,2,"(4,3) / (0,3) / (0,-3) / (-1,-1) / (-2,-5) / (0,-3) / (5,0) / (0,-3) / (4,0) / (-1,0) / (3,0) / (-3,0)",4,"(3,-3)/(3,1)/(0,-3)/(2,5)/(3,-2)"
IsraelChampionship2025,5.67,d,A,0,3,"(0,-4) / (-3,0) / (3,0) / (0,-3) / (-5,-2) / (-3,0) / (0,-3) / (0,-4) / (-3,-3) / (1,0) / (2,0) / (6,-4) / (4,0) / (4,0)",6,"(4,-2)/(0,2)/(2,0)/(3,2)/(3,3)/(-3,4)/(2,0)"
IsraelChampionship2025,5.67,d,A,0,4,"(0,-4) / (-3,3) / (-5,4) / (-3,-3) / (3,0) / (-4,-3) / (-3,-3) / (3,0) / (5,-5) / (0,-2) / (2,0) /",6,"(-4,0)/(2,2)/(-4,2)/(0,-2)/(2,1)/(-3,-3)/(2,-2)"
IsraelChampionship2025,5.67,d,A,0,5,"(0,2) / (-3,0) / (4,-5) / (-3,0) / (2,-1) / (6,-3) / (4,0) / (3,0) / (-4,0) / (-5,0) / (4,-3) / (6,-4) / (1,0)",8,"(6,0)/(1,-4)/(0,-3)/(0,-4)/(0,-2)/(-1,4)/(-3,0)/(-5,6)/(2,0)"
IsraelChampionship2025,5.67,d,A,1,1,"(-5,3) / (-4,-1) / (1,-5) / (3,0) / (-4,-1) / (6,-2) / (3,0) / (-5,0) / (2,0) / (-2,-4) / (-5,0) / (4,0)",5,"(-4,2)/(4,2)/(-4,0)/(2,-3)/(-3,-3)/(2,-2)"
IsraelChampionship2025,5.67,d,A,1,2,"(1,0) / (-3,6) / (-1,2) / (3,0) / (-2,-2) / (-3,0) / (-1,0) / (-3,-3) / (2,-3) / (-4,-4) / (2,0) / (-2,0) /",7,"(4,-2)/(-2,0)/(4,2)/(3,2)/(3,3)/(-4,0)/(0,-3)/(3,-2)"
SparkMelbourneJuly2025,5.67,d,A,0,1,"(0,5) / (-3,0) / (-3,0) / (0,-3) / (6,0) / (-5,-2) / (-3,-1) / (-3,-3) / (5,0) / (-2,-4) / (6,-4) / (-4,-3) /",7,"(5,0)/(-4,1)/(-2,0)/(2,0)/(1,-4)/(3,3)/(-1,3)/(3,-2)"
SparkMelbourneJuly2025,5.67,d,A,0,2,"(-3,-1) / (-5,-2) / (-1,-4) / (-2,-5) / (-1,-4) / (0,-5) / (-3,-3) / (-3,0) / (-5,-1) / (2,0) / (4,0) /",5,"(-4,2)/(0,-2)/(0,-2)/(2,1)/(3,3)/"
SparkMelbourneJuly2025,5.67,d,A,0,3,"(-5,0) / (3,-3) / (-3,0) / (-4,-1) / (-3,0) / (-5,0) / (-3,-3) / (6,-2) / (6,-1) / (4,-5) / (2,-2) /",7,"(6,0)/(0,-4)/(0,4)/(1,2)/(3,3)/(2,3)/(4,1)/(2,0)"
SparkMelbourneJuly2025,5.67,d,A,0,4,"(1,0) / (2,5) / (6,-3) / (4,-2) / (0,-3) / (-3,0) / (-1,0) / (-3,0) / (3,0) / (-5,-1) / (-4,0) / (2,0) /",6,"(2,-2)/(-4,0)/(4,2)/(-2,0)/(2,1)/(3,0)/"
SparkMelbourneJuly2025,5.67,d,A,0,5,"(-2,3) / (-4,2) / (1,-2) / (5,-4) / (3,0) / (-3,-2) / (6,0) / (3,-3) / (-3,0) / (-1,0) /",4,"/(1,-3)/(3,3)/(0,4)/(2,0)"
SparkMelbourneJuly2025,5.67,d,A,1,1,"(-5,0) / (0,3) / (-3,0) / (5,-1) / (-3,0) / (0,-2) / (-3,0) / (-2,0) / (0,-1) / (4,-3) / (0,-2) / (2,0) / (4,0) / (0,-1)",7,"(5,0)/(1,0)/(-2,-3)/(-4,2)/(0,4)/(-3,-2)/(6,3)/(2,-2)"
SparkMelbourneJuly2025,5.67,d,A,1,2,"(0,-4) / (-2,-2) / (-3,3) / (-4,-1) / (0,-3) / (6,-2) / (-3,0) / (-2,-1) / (-2,0) / (-4,-3) / (1,0)",6,"(-1,-2)/(0,5)/(1,2)/(2,3)/(0,3)/(3,5)/(3,-2)"
PUCPCubingFestivalV2025,5.67,c,B,0,1,"(-3,2) / (-5,1) / (0,-3) / (5,-1) / (6,0) / (-5,0) / (0,-3) / (-1,0) / (4,0) / (2,-4) / (6,0)",7,"(4,0)/(0,-3)/(5,0)/(-4,-2)/(2,3)/(3,0)/(6,5)/(3,-2)"
PUCPCubingFestivalV2025,5.67,c,B,0,2,"(-2,3) / (-3,0) / (-3,3) / (5,-4) / (3,0) / (1,-3) / (-3,-3) / (3,0) / (2,0) / (0,-4) / (-4,0) /",6,"(3,0)/(5,0)/(-3,2)/(0,-4)/(3,-2)/(-3,-3)/"
PUCPCubingFestivalV2025,5.67,c,B,0,3,"(3,2) / (-3,6) / (-3,0) / (1,-2) / (5,-4) / (4,-3) / (-3,0) / (-1,0) / (-4,-3) / (-2,-2)",4,"(2,2)/(-2,-3)/(-3,-2)/(3,6)/(2,-2)"
PUCPCubingFestivalV2025,5.67,c,B,0,4,"(-5,0) / (3,0) / (2,5) / (3,0) / (4,-2) / (-3,0) / (-4,0) / (-3,0) / (4,0) / (-1,0) / (4,0) / (0,-3) / (-4,0) / (-4,0)",8,"(6,0)/(-4,2)/(-2,3)/(-2,-1)/(2,0)/(-4,1)/(0,3)/(0,-4)/(3,-2)"
PUCPCubingFestivalV2025,5.67,c,B,0,5,"(-2,0) / (5,2) / (1,4) / (0,-3) / (-4,0) / (3,0) / (-5,-3) / (-1,0) / (4,-3) / (2,-5) / (-4,0) / (0,-2) / (-2,0)",7,"(3,2)/(2,1)/(0,-2)/(4,-1)/(-3,0)/(0,-5)/(2,5)/(3,-2)"
PUCPCubingFestivalV2025,5.67,c,B,1,1,"(1,0) / (3,0) / (3,0) / (5,-1) / (-2,-2) / (-4,-1) / (-5,0) / (0,-3) / (5,0) / (6,0) /",5,"(1,4)/(-1,0)/(0,-3)/(1,-3)/(5,5)/(3,-2)"
PUCPCubingFestivalV2025,5.67,c,B,1,2,"(-3,5) / (-5,-2) / (2,-1) / (-3,0) / (-2,-5) / (-4,-3) / (0,-3) / (-2,-1) / (0,-2) / (-4,0) / (6,-5) / (6,0)",6,"(1,-4)/(0,-4)/(-4,-2)/(-1,0)/(-3,0)/(-3,-1)/(3,-2)"
Cube4funinBelchatow2025,5.67,f,A,0,1,"(4,0) / (3,0) / (5,2) / (-3,0) / (4,-5) / (2,0) / (6,-3) / (2,-5) / (4,-4) / (4,0) / (6,0)",6,"(-4,2)/(4,0)/(1,-4)/(3,0)/(-1,-3)/(1,4)/(2,0)"
Cube4funinBelchatow2025,5.67,f,A,0,2,"(-2,0) / (-3,0) / (5,-1) / (-3,0) / (6,-5) / (-3,0) / (4,-3) / (2,0) / (4,0) / (4,-3) / (2,0) /",7,"(2,2)/(0,5)/(2,0)/(0,-3)/(2,1)/(3,0)/(-2,6)/(2,0)"
Cube4funinBelchatow2025,5.67,f,A,0,3,"(3,-4) / (4,1) / (5,-1) / (4,-5) / (-1,-4) / (1,0) / (3,0) / (6,-3) / (-3,-2) / (-1,-2)",6,"(0,2)/(0,-1)/(1,-3)/(0,3)/(3,0)/(5,-3)/(3,-2)"
Cube4funinBelchatow2025,5.67,f,A,0,4,"(-3,5) / (0,3) / (-3,0) / (-3,0) / (4,-2) / (-3,0) / (-3,-4) / (-3,-3) / (-1,-2) / (4,-2) / (-4,-2) / (6,0)",7,"(2,-2)/(4,2)/(0,4)/(1,2)/(3,3)/(-1,3)/(1,4)/(2,0)"
Cube4funinBelchatow2025,5.67,f,A,0,5,"(-2,0) / (0,-3) / (0,-3) / (-1,-4) / (6,-3) / (-2,-3) / (-3,0) / (3,0) / (0,-2) / (-1,0) / (-2,0)",5,"(-1,3)/(0,-3)/(4,0)/(-4,-1)/(-2,-5)/(2,0)"
Cube4funinBelchatow2025,5.67,f,A,1,1,"(-2,0) / (2,5) / (-2,1) / (2,-1) / (4,-2) / (-4,0) / (-3,0) / (4,0) / (3,0) / (2,-1) /",5,"(1,3)/(1,0)/(-4,0)/(0,3)/(-2,6)/(2,0)"
Cube4funinBelchatow2025,5.67,f,A,1,2,"(-5,0) / (5,-1) / (0,3) / (4,-2) / (-3,0) / (0,-3) / (-1,0) / (0,-3) / (3,-1) / (-3,0) / (1,-4) / (2,-4)",6,"(0,-3)/(1,4)/(0,2)/(0,-1)/(0,-3)/(2,6)/(3,-2)"
AvenidaChileXXIII2025,5.67,d,B,0,1,"(0,-4) / (3,3) / (0,6) / (-3,0) / (-2,-5) / (3,0) / (2,-3) / (-3,-3) / (0,-1) / (-2,0) / (4,0) / (0,-2) / (-2,0)",7,"(2,0)/(-4,2)/(-2,0)/(-3,-2)/(3,3)/(-4,0)/(4,-5)/(2,0)"
AvenidaChileXXIII2025,5.67,d,B,0,2,"(0,-4) / (-5,4) / (3,0) / (0,-3) / (2,-1) / (-3,-5) / (3,0) / (3,-3) / (-4,-5) / (6,-4) /",6,"(4,-2)/(-4,2)/(4,0)/(0,-1)/(1,-3)/(-3,6)/"
AvenidaChileXXIII2025,5.67,d,B,0,3,"(3,-1) / (3,-3) / (-2,-5) / (3,0) / (2,-4) / (-5,0) / (-3,-3) / (3,0) / (4,0) / (6,0) / (-4,0) / (-2,0)",5,"(2,-2)/(-4,-2)/(1,4)/(3,3)/(-1,3)/(3,-2)"
AvenidaChileXXIII2025,5.67,d,B,0,4,"(-2,0) / (3,0) / (6,3) / (3,0) / (-1,-1) / (-5,0) / (-3,-3) / (-1,0) / (4,0) / (-2,0) /",6,"(0,-4)/(4,0)/(3,-2)/(3,3)/(0,4)/(-1,-4)/(3,-2)"
AvenidaChileXXIII2025,5.67,d,B,0,5,"(4,0) / (-1,5) / (0,-3) / (-3,0) / (1,-2) / (-1,-4) / (-2,0) / (0,-3) / (-1,0) / (-2,-2) / (3,0) / (-4,0)",4,"(0,-1)/(4,1)/(-3,2)/(6,-3)/"
AvenidaChileXXIII2025,5.67,d,B,1,1,"(0,2) / (0,-3) / (-2,1) / (3,0) / (-4,-4) / (6,0) / (-5,0) / (0,-3) / (-1,0) / (-5,0) / (2,0) / (-1,-2) / (6,0)",7,"(6,0)/(1,-4)/(-2,0)/(-1,4)/(1,4)/(-4,0)/(3,0)/"
AvenidaChileXXIII2025,5.67,d,B,1,2,"(-3,5) / (0,-3) / (0,-3) / (4,-2) / (-4,-1) / (-3,-5) / (-3,-3) / (-2,-1) / (-2,0) / (4,0) / (4,-5) / (6,0)",7,"(-1,0)/(-2,-3)/(0,4)/(4,0)/(2,-2)/(3,-2)/(-3,-3)/"
KindaMaybeMinisota2025,5.67,1,A,0,1,"(0,-1) / (3,0) / (-5,4) / (5,-4) / (-2,-5) / (0,-3) / (2,0) / (-3,0) / (6,-1) / (-5,-3) / (-3,-3)",5,"(3,-3)/(1,0)/(0,-3)/(2,0)/(3,0)/"
KindaMaybeMinisota2025,5.67,1,A,0,2,"(0,5) / (-3,6) / (1,1) / (3,0) / (3,0) / (0,-1) / (0,-3) / (-3,0) / (0,-4) / (-4,0) / (-2,0) / (4,0) / (2,-4)",7,"(4,-2)/(0,2)/(3,2)/(0,5)/(-3,2)/(2,1)/(6,-3)/(2,-2)"
KindaMaybeMinisota2025,5.67,1,A,0,3,"(0,2) / (6,3) / (-2,4) / (0,-3) / (-4,-1) / (4,0) / (-3,0) / (5,-3) / (0,-5) / (0,-5) / (4,-4) / (0,-5) /",6,"(0,-4)/(0,5)/(2,-3)/(5,0)/(1,3)/(-3,6)/"
KindaMaybeMinisota2025,5.67,1,A,0,4,"(-2,0) / (2,-1) / (6,3) / (1,-5) / (2,-1) / (-5,0) / (3,0) / (0,-3) / (-2,0) / (-4,0) / (3,0)",6,"(3,-3)/(5,0)/(1,-3)/(3,0)/(3,1)/(-3,-3)/(2,0)"
KindaMaybeMinisota2025,5.67,1,A,0,5,"(-2,0) / (3,0) / (-4,5) / (-5,-5) / (6,0) / (-1,0) / (3,0) / (1,0) / (4,0) / (0,-4) / (1,-4) / (-2,0) / (5,0) / (1,0)",8,"(5,1)/(2,0)/(4,-1)/(0,4)/(-1,4)/(1,4)/(-4,0)/(3,0)/"
KindaMaybeMinisota2025,5.67,1,A,1,1,"(3,2) / (0,6) / (-3,0) / (4,-5) / (3,0) / (-4,-1) / (0,-2) / (0,-3) / (0,-1) / (0,-4) / (-2,-5) / (-1,0) / (-2,0)",6,"(0,-1)/(-1,4)/(0,2)/(1,2)/(0,3)/(3,-5)/(2,0)"
KindaMaybeMinisota2025,5.67,1,A,1,2,"(-2,0) / (0,-3) / (-3,0) / (3,0) / (5,-1) / (3,0) / (-3,-5) / (3,0) / (-3,0) / (-2,-4) / (0,-2) / (0,-5) / (3,0)",5,"(2,0)/(2,0)/(-2,-1)/(-3,0)/(2,6)/(3,-2)"
UCDCubeDays2025,5.67,c,B,0,1,"(0,-1) / (-3,-3) / (0,3) / (1,-2) / (6,0) / (-1,0) / (-3,-3) / (-2,-1) / (-4,0) / (4,0) / (0,-5)",6,"(2,1)/(4,0)/(-4,0)/(1,2)/(3,3)/(-1,6)/(3,-2)"
UCDCubeDays2025,5.67,c,B,0,2,"(0,-1) / (0,-3) / (-3,0) / (-2,-5) / (0,-3) / (0,-3) / (0,-4) / (6,-3) / (-5,-4) / (-4,0) / (0,-2) / (0,-1) / (0,-2) / (0,-3)",7,"(0,4)/(0,-2)/(0,-3)/(-4,0)/(4,-1)/(-3,0)/(3,-2)/(2,0)"
UCDCubeDays2025,5.67,c,B,0,3,"(-3,-4) / (6,0) / (0,3) / (-3,-3) / (-2,-5) / (3,0) / (0,-4) / (-3,0) / (5,-3) / (1,0) / (6,-2)",6,"(0,-4)/(-2,-1)/(-2,-3)/(5,0)/(0,-3)/(-3,5)/(3,-2)"
UCDCubeDays2025,5.67,c,B,0,4,"(4,0) / (2,-4) / (1,4) / (-1,-4) / (-2,-5) / (6,-4) / (0,-3) / (-1,0) / (0,-2) / (0,-2) / (-5,-4) / (4,0)",7,"(-4,0)/(-1,-2)/(2,-3)/(-2,0)/(-1,-3)/(0,-3)/(1,6)/(2,0)"
UCDCubeDays2025,5.67,c,B,0,5,"(-3,-4) / (4,1) / (2,-4) / (-3,0) / (3,-3) / (4,-3) / (3,0) / (3,-5) / (0,-4) / (0,-3) / (-5,-2)",5,"(-4,-1)/(3,3)/(0,5)/(1,4)/(-3,6)/(2,0)"
UCDCubeDays2025,5.67,c,B,1,1,"(0,2) / (0,3) / (-5,4) / (-1,-4) / (3,0) / (6,0) / (-5,0) / (0,-3) / (3,-2) / (3,0) / (-3,-1)",4,"(2,0)/(4,0)/(0,-3)/(-3,4)/(2,0)"
UCDCubeDays2025,5.67,c,B,1,2,"(0,-1) / (0,3) / (-2,1) / (5,-4) / (3,0) / (6,0) / (-2,0) / (-3,0) / (3,0) / (2,-2) / (0,-4) / (1,0) / (6,0)",7,"(6,0)/(-1,0)/(0,4)/(1,-1)/(3,0)/(-3,0)/(5,6)/(3,-2)"
RacinginRosemount2025,5.67,d,C,0,1,"(3,5) / (-2,-5) / (-3,0) / (-4,-4) / (0,-3) / (0,-3) / (-5,0) / (-3,-3) / (5,0) / (0,-4) / (-2,0) / (-4,-2) /",7,"(-4,0)/(4,0)/(2,2)/(-2,2)/(3,2)/(3,3)/(5,3)/(3,-2)"
RacinginRosemount2025,5.67,d,C,0,2,"(-5,-3) / (3,0) / (-1,-1) / (0,-3) / (3,0) / (4,-5) / (5,0) / (-3,-3) / (0,-5) / (4,0) / (-4,-2) / (0,-2) / (6,0)",8,"(2,-2)/(-4,-2)/(-4,0)/(0,-4)/(2,-3)/(3,3)/(1,3)/(3,6)/(2,0)"
RacinginRosemount2025,5.67,d,C,0,3,"(-2,3) / (-3,0) / (-1,5) / (1,-2) / (5,-4) / (-2,-3) / (3,0) / (0,-5) / (2,-1) / (-2,0) / (-3,0)",4,"(-3,0)/(0,3)/(-2,-3)/(5,2)/(3,-2)"
RacinginRosemount2025,5.67,d,C,0,4,"(4,0) / (3,-3) / (6,0) / (-3,0) / (-4,-3) / (3,0) / (0,-4) / (-5,0) / (0,-4) / (2,0) / (1,0) / (2,-1) / (0,-2) / (4,0)",8,"(2,-3)/(0,-5)/(4,2)/(2,3)/(0,4)/(-1,4)/(-3,0)/(3,-4)/(3,-2)"
RacinginRosemount2025,5.67,d,C,0,5,"(1,0) / (6,0) / (-3,3) / (-3,0) / (-1,-4) / (-2,-3) / (-3,0) / (5,0) / (-2,0) / (-4,0) / (2,0) /",7,"(-2,0)/(-4,0)/(0,-2)/(4,-1)/(1,4)/(3,-1)/(6,3)/"
RacinginRosemount2025,5.67,d,C,1,1,"(1,0) / (-4,2) / (4,-5) / (2,-1) / (4,-2) / (3,-4) / (-3,-3) / (5,-2) / (2,-2) / (-4,-2)",6,"(2,2)/(4,-2)/(-4,1)/(3,3)/(4,0)/(5,2)/(3,-2)"
RacinginRosemount2025,5.67,d,C,1,2,"(0,-1) / (0,-3) / (-2,1) / (-3,-3) / (0,-3) / (0,-3) / (-4,0) / (3,0) / (0,-4) / (6,-2) / (0,-3) /",4,"(1,-3)/(2,-1)/(1,4)/(-3,6)/(2,0)"
SingaporeSkewbyMarch2025,5.67,f,A,0,1,"(4,0) / (0,3) / (-1,5) / (3,0) / (-3,0) / (1,-2) / (0,-1) / (-3,-3) / (1,0) / (0,-2) / (4,-4) / (0,-2) / (-2,-3)",6,"(2,1)/(-2,2)/(2,-2)/(1,-4)/(3,3)/(6,1)/(2,0)"
SingaporeSkewbyMarch2025,5.67,f,A,0,2,"(0,-4) / (0,3) / (-5,1) / (-3,-3) / (0,-3) / (-3,-3) / (0,-1) / (0,-3) / (-3,-2) / (0,-2) / (2,0) / (0,-4) / (4,0) /",7,"(0,-4)/(-2,0)/(3,-2)/(1,-3)/(2,0)/(3,0)/(3,-1)/(3,-2)"
SingaporeSkewbyMarch2025,5.67,f,A,0,3,"(-3,5) / (-5,1) / (3,0) / (0,-3) / (5,-1) / (6,-2) / (0,-3) / (4,0) / (0,-3) / (2,-4) / (-4,0) / (4,0)",5,"(-4,0)/(2,-2)/(2,3)/(3,0)/(0,-4)/(3,-2)"
SingaporeSkewbyMarch2025,5.67,f,A,0,4,"(0,2) / (-5,1) / (-1,2) / (3,0) / (-5,-2) / (-3,0) / (5,0) / (6,0) / (-3,0) / (0,-3) / (3,-5)",4,"(2,2)/(3,-2)/(-3,0)/(1,6)/(2,0)"
SingaporeSkewbyMarch2025,5.67,f,A,0,5,"(-3,5) / (-5,4) / (2,-4) / (6,-3) / (0,-3) / (4,0) / (0,-3) / (0,-2) / (0,-1) / (-4,0) / (-4,-1) /",6,"(1,-2)/(0,-2)/(0,-4)/(0,-1)/(0,-3)/(5,3)/(3,-2)"
SingaporeSkewbyMarch2025,5.67,f,A,1,1,"(0,-1) / (-5,-2) / (-4,5) / (1,-2) / (5,-1) / (3,-2) / (3,0) / (1,0) / (4,-4) / (-5,0) / (2,0) / (-2,0) /",8,"(2,-3)/(1,4)/(-4,-2)/(0,-5)/(3,-2)/(4,0)/(-3,2)/(0,3)/(2,-2)"
SingaporeSkewbyMarch2025,5.67,f,A,1,2,"(0,2) / (4,4) / (0,-3) / (6,0) / (-4,-4) / (3,0) / (4,0) / (0,-3) / (-1,-2) / (0,-2) / (0,-4) / (0,-5) / (3,-4) /",7,"/(3,-2)/(2,-2)/(5,0)/(1,-4)/(2,3)/(6,-3)/(2,-2)"
VIRecifeOpen2025,5.67,c,A,0,1,"(0,5) / (-2,1) / (2,-1) / (0,-3) / (4,-5) / (6,0) / (0,-1) / (-3,0) / (0,-2) / (5,0) / (0,-4)",5,"(3,-2)/(2,0)/(0,1)/(0,3)/(0,-4)/(3,-2)"
VIRecifeOpen2025,5.67,c,A,0,2,"(1,0) / (2,2) / (0,3) / (0,-3) / (-3,0) / (1,-5) / (2,-3) / (3,0) / (6,-4) / (-5,0) / (-1,-4) / (4,-5)",6,"(2,-1)/(4,0)/(0,-5)/(0,3)/(0,3)/(0,1)/(2,0)"
VIRecifeOpen2025,5.67,c,A,0,3,"(-2,3) / (0,3) / (-4,5) / (4,-5) / (2,-4) / (0,-2) / (3,0) / (1,-3) / (5,0) / (-3,-5) / (-2,-1)",6,"(4,0)/(1,3)/(0,-3)/(-3,0)/(-2,3)/(5,2)/(3,-2)"
VIRecifeOpen2025,5.67,c,A,0,4,"(0,-4) / (-2,-2) / (-3,6) / (3,0) / (-1,-1) / (0,-3) / (0,-5) / (0,-3) / (0,-3) / (0,-2) / (4,-1) / (0,-5) / (4,0) /",7,"(-2,2)/(2,3)/(2,2)/(2,-2)/(-1,0)/(-3,0)/(3,5)/(3,-2)"
