competition_id,Ao5,round_type_id,group_id,is_extra,scramble_num,scramble,cspobl_slicecount,cspobl_solution
VIRecifeOpen2025,5.67,c,A,0,5,"(1,0) / (-3,3) / (6,3) / (2,-4) / (3,-2) / (3,0) / (1,-4) / (4,0) / (-4,0) / (0,-5) / (-5,-4) / (4,-2)",7,"(-4,-2)/(4,1)/(0,-4)/(4,-1)/(0,-3)/(2,0)/(1,4)/(2,0)"
VIRecifeOpen2025,5.67,c,A,1,1,"(1,0) / (0,-3) / (3,0) / (-3,0) / (2,-4) / (1,-5) / (6,-1) / (-3,0) / (5,-3) / (3,-2) /",4,"/(-2,0)/(-3,2)/(3,0)/(2,-2)"
VIRecifeOpen2025,5.67,c,A,1,2,"(-2,0) / (5,5) / (1,-2) / (2,-1) / (3,0) / (4,0) / (3,0) / (-4,0) / (1,0) / (6,-2) / (-4,-1) / (-2,-2) /",8,"(2,-1)/(-2,-2)/(2,-3)/(2,2)/(2,0)/(-2,-3)/(-3,0)/(-3,-2)/(2,0)"
ANewYearinSingapore2025,5.67,f,A,0,1,"(-5,0) / (0,3) / (-4,2) / (-3,0) / (6,0) / (0,-3) / (-3,0) / (0,-5) / (-3,-3) / (-4,-1) / (-2,0) / (0,-4) / (-4,-2) /",7,"(-2,-2)/(4,2)/(2,2)/(-2,1)/(0,-5)/(2,0)/(-3,-3)/(2,-2)"
ANewYearinSingapore2025,5.67,f,A,0,2,"(-5,0) / (0,-3) / (5,2) / (0,-3) / (3,0) / (1,-5) / (0,-4) / (3,0) / (6,-5) / (0,-4) / (2,0) /",5,"(0,-5)/(3,0)/(0,3)/(0,-4)/(-2,-5)/(2,0)"
ANewYearinSingapore2025,5.67,f,A,0,3,"(-2,0) / (-4,5) / (4,4) / (3,0) / (0,-3) / (-4,-4) / (0,-2) / (-3,0) / (4,-3) / (-4,0) / (2,0) / (6,-4) /",6,"(4,0)/(-4,2)/(4,1)/(-4,0)/(1,3)/(6,-3)/"
ANewYearinSingapore2025,5.67,f,A,0,4,"(4,0) / (0,3) / (-1,-4) / (0,-3) / (0,-3) / (3,0) / (3,0) / (0,-2) / (0,-3) / (-3,0) / (3,-5) / (6,-2) / (-1,0) /",7,"(1,0)/(-1,2)/(-3,2)/(-2,-1)/(0,-3)/(3,-2)/(-3,-3)/(2,0)"
ANewYearinSingapore2025,5.67,f,A,0,5,"(0,5) / (3,0) / (-3,-3) / (-3,0) / (-5,-5) / (-3,-3) / (0,-4) / (-3,-3) / (5,0) / (0,-2) / (2,0) / (6,-4) / (-3,0)",5,"(-1,-2)/(0,2)/(2,-2)/(1,-4)/(3,3)/(2,-2)"
ANewYearinSingapore2025,5.67,f,A,1,1,"(1,-3) / (0,3) / (-4,5) / (6,0) / (-3,-3) / (0,-2) / (0,-3) / (3,0) / (0,-5) / (0,-4) / (1,-2) / (-2,-1)",6,"(-4,1)/(0,2)/(4,0)/(-1,-2)/(-3,0)/(4,-3)/(2,0)"
ANewYearinSingapore2025,5.67,f,A,1,2,"(3,-4) / (4,-5) / (-1,-1) / (6,0) / (-3,0) / (-5,0) / (-3,0) / (3,0) / (-4,-2) / (0,-3) / (-4,0) / (-2,0) / (4,0)",7,"(-4,1)/(0,2)/(2,-3)/(1,2)/(3,0)/(2,-3)/(3,0)/(3,-2)"
CanetdenBerenguerOpen2024,5.67,f,A,0,1,"(3,-1) / (-3,3) / (3,0) / (-2,-2) / (-3,0) / (0,-3) / (0,-1) / (0,-3) / (3,-3) / (0,-3) / (0,-2)",5,"(2,2)/(-2,3)/(-3,0)/(3,-2)/(-1,-4)/(3,-2)"
CanetdenBerenguerOpen2024,5.67,f,A,0,2,"(0,-1) / (0,3) / (3,3) / (-2,-2) / (6,-3) / (0,-3) / (-4,0) / (0,-3) / (4,-1) / (0,-4) / (2,-5) / (6,-4) /",7,"(4,0)/(3,2)/(-3,-2)/(3,0)/(5,0)/(-3,-2)/(6,3)/(2,-2)"
CanetdenBerenguerOpen2024,5.67,f,A,0,3,"(0,-1) / (4,-5) / (3,0) / (0,-3) / (3,0) / (5,-4) / (-5,0) / (0,-3) / (-1,-2) / (-3,0) / (2,0) / (1,0) / (-2,0) / (5,0)",7,"(1,-2)/(0,-4)/(2,1)/(2,2)/(2,-2)/(3,2)/(3,0)/(2,-2)"
CanetdenBerenguerOpen2024,5.67,f,A,0,4,"(-2,0) / (5,5) / (4,3) / (3,0) / (-4,-3) / (-5,-2) / (-4,0) / (-4,0) / (6,-2) / (0,-2) / (6,-5) / (-3,0)",8,"(2,3)/(1,-4)/(0,-4)/(-4,0)/(2,-2)/(-1,-4)/(-3,1)/(0,3)/"
CanetdenBerenguerOpen2024,5.67,f,A,0,5,"(-5,0) / (0,3) / (-3,0) / (-3,0) / (-1,-1) / (3,0) / (0,-2) / (3,0) / (3,0) / (-2,0) / (-2,0) / (-2,-3) / (2,0) / (-4,-3)",7,"(0,5)/(0,-2)/(-2,-3)/(-2,3)/(-2,-1)/(-3,0)/(3,-5)/(2,0)"
CanetdenBerenguerOpen2024,5.67,f,A,1,1,"(-5,0) / (6,3) / (0,3) / (-4,-4) / (-3,0) / (-2,-5) / (0,-1) / (-3,0) / (0,-3) / (-3,0)",5,"(3,0)/(5,0)/(-3,1)/(3,0)/(-5,0)/(2,0)"
CanetdenBerenguerOpen2024,5.67,f,A,1,2,"(-5,-3) / (3,0) / (-1,-1) / (-3,-3) / (-3,0) / (-2,-3) / (6,-3) / (0,-4) / (0,-5) / (-3,0) / (2,0)",5,"(2,0)/(3,2)/(-3,0)/(0,-3)/(-3,-4)/(3,-2)"
CentroSubaBogotaIV2024,5.67,d,B,0,1,"(0,2) / (-3,3) / (3,0) / (4,-2) / (-3,-3) / (3,0) / (0,-4) / (-3,0) / (6,0) / (2,0) / (-5,0) / (-2,0)",5,"(2,0)/(2,1)/(3,0)/(-5,0)/(6,-3)/(2,0)"
CentroSubaBogotaIV2024,5.67,d,B,0,2,"(1,0) / (0,-3) / (0,-3) / (-4,-4) / (6,-3) / (-5,-5) / (2,0) / (3,0) / (-3,0) / (4,-4) / (4,0) / (-1,0) / (-2,0)",6,"(2,0)/(-3,0)/(-2,1)/(0,1)/(-3,-1)/(6,3)/"
CentroSubaBogotaIV2024,5.67,d,B,0,3,"(1,0) / (0,3) / (-1,2) / (-3,0) / (-2,-5) / (-4,-1) / (-5,0) / (-3,0) / (0,-3) / (6,-3) / (5,0) / (1,0) /",6,"(1,-4)/(0,3)/(0,4)/(5,0)/(0,-3)/(-2,0)/(2,0)"
CentroSubaBogotaIV2024,5.67,d,B,0,4,"(4,0) / (3,0) / (2,2) / (-5,-5) / (6,0) / (-3,0) / (0,-4) / (0,-3) / (-3,-2) / (0,-2) / (6,-4) / (-4,0) / (5,-3)",8,"(1,-3)/(0,-4)/(-4,0)/(4,-2)/(0,-4)/(0,-1)/(0,-3)/(-1,3)/(3,-2)"
CentroSubaBogotaIV2024,5.67,d,B,0,5,"(-3,-4) / (-5,4) / (2,-1) / (0,-3) / (3,0) / (-2,0) / (0,-3) / (-1,0) / (0,-2) / (6,-2) / (0,-2) / (-3,0)",5,"(3,0)/(-4,2)/(0,-2)/(-3,-2)/(6,3)/(2,-2)"
CentroSubaBogotaIV2024,5.67,d,B,1,1,"(-5,-3) / (6,3) / (-4,-1) / (3,-3) / (0,-3) / (0,-2) / (-3,0) / (0,-3) / (4,0) / (4,-1) / (3,0) / (4,0) / (-2,0)",7,"(4,0)/(0,-3)/(4,0)/(-1,4)/(0,-3)/(3,2)/(3,3)/(3,-2)"
CentroSubaBogotaIV2024,5.67,d,B,1,2,"(1,0) / (2,-1) / (0,3) / (4,-2) / (6,0) / (-3,-1) / (3,0) / (-4,-3) / (0,-4) / (1,-2) / (-3,-2) / (2,0) /",7,"(3,0)/(1,2)/(-1,2)/(-3,2)/(0,2)/(1,0)/(0,3)/(2,-2)"
BanskaBystricaOpen2024,5.67,c,A,0,1,"(1,0) / (0,-3) / (0,-3) / (-3,0) / (-4,-4) / (3,0) / (6,0) / (0,-2) / (-3,0) / (-2,0) / (0,-4) / (-2,-5) / (-4,0) / (3,0) /",6,"(-2,-2)/(-1,-2)/(0,2)/(-5,0)/(3,2)/(6,-3)/"
BanskaBystricaOpen2024,5.67,c,A,0,2,"(0,-4) / (4,1) / (-1,-4) / (4,-5) / (-3,-1) / (-3,-3) / (-1,-2) / (-2,-4) / (4,0) / (0,-2)",5,"(6,0)/(4,0)/(2,1)/(3,3)/(-2,-3)/(2,0)"
BanskaBystricaOpen2024,5.67,c,A,0,3,"(0,-1) / (3,0) / (1,1) / (0,-3) / (5,-1) / (4,-2) / (-1,0) / (3,0) / (3,0) / (-2,0) / (4,0) / (-1,0) / (-4,-3) /",8,"(2,2)/(0,1)/(3,-2)/(0,5)/(3,-2)/(0,-3)/(0,3)/(6,-4)/(3,-2)"
BanskaBystricaOpen2024,5.67,c,A,0,4,"(0,2) / (0,-3) / (3,3) / (-2,-5) / (5,-1) / (-5,0) / (-3,-3) / (-1,0) / (2,-4) / (0,-2) / (0,-2) / (-2,0)",5,"(2,2)/(0,2)/(4,-2)/(3,-2)/(-3,-3)/"
BanskaBystricaOpen2024,5.67,c,A,0,5,"(0,-1) / (4,1) / (-1,2) / (3,0) / (0,-3) / (4,-2) / (5,0) / (-3,-3) / (0,-3) / (-2,-4)",6,"(2,1)/(3,3)/(-5,0)/(-3,0)/(-4,-1)/(-5,-2)/(2,0)"
BanskaBystricaOpen2024,5.67,c,A,1,1,"(0,5) / (3,0) / (-5,-2) / (-4,-1) / (4,-5) / (0,-1) / (-3,-3) / (-5,0) / (0,-2) / (4,0) / (0,-2) / (-5,-4)",9,"(1,-2)/(2,-2)/(2,-2)/(-4,0)/(-4,0)/(2,-3)/(3,3)/(1,0)/(0,3)/(2,0)"
BanskaBystricaOpen2024,5.67,c,A,1,2,"(-2,-3) / (-4,5) / (4,-5) / (5,-4) / (0,-5) / (-3,0) / (4,0) / (-1,0) / (0,-4) / (-3,-2) / (0,-2) / (-4,0) / (-2,0)",8,"(2,-2)/(3,-2)/(-4,0)/(0,-2)/(-4,1)/(0,3)/(0,5)/(1,4)/(2,0)"
RutaValencianaIITioPep2024,5.67,c,A,0,1,"(-2,-3) / (5,-1) / (6,-3) / (-3,0) / (-2,-5) / (-1,-3) / (0,-3) / (-2,0) / (2,0) / (-2,0) / (1,0) / (4,-3)",8,"(2,-3)/(0,-1)/(2,3)/(0,4)/(2,3)/(3,0)/(1,3)/(2,-1)/(3,-2)"
RutaValencianaIITioPep2024,5.67,c,A,0,2,"(3,-4) / (3,6) / (1,-5) / (0,-3) / (2,-1) / (6,-2) / (-3,-3) / (-4,-1) / (2,0) / (0,-2) / (0,-2) / (-2,0)",7,"(2,-2)/(-4,0)/(0,-2)/(2,-2)/(2,-3)/(3,3)/(6,5)/(3,-2)"
RutaValencianaIITioPep2024,5.67,c,A,0,3,"(0,2) / (3,3) / (-2,-5) / (3,-3) / (5,-4) / (1,-3) / (0,-3) / (5,0) / (6,0) / (-2,-4) / (-1,-4)",5,"(1,4)/(2,-2)/(0,1)/(0,3)/(0,-4)/(3,-2)"
RutaValencianaIITioPep2024,5.67,c,A,0,4,"(-2,0) / (3,6) / (3,0) / (5,-4) / (-3,0) / (6,-5) / (-3,0) / (0,-1) / (-4,-5) / (2,0) / (-4,0) / (-2,0) / (-1,0) /",8,"(3,-1)/(2,0)/(4,-2)/(-4,0)/(-1,-3)/(3,0)/(0,-3)/(-3,4)/(2,0)"
RutaValencianaIITioPep2024,5.67,c,A,0,5,"(-5,0) / (-4,-1) / (-3,0) / (-5,-2) / (5,-3) / (0,-3) / (3,-1) / (-3,0) / (3,-2) / (-2,-3) / (1,0) / (-2,-1)",7,"(4,-2)/(0,-2)/(0,-1)/(-3,2)/(-1,-3)/(1,3)/(3,0)/(2,-2)"
RutaValencianaIITioPep2024,5.67,c,A,1,1,"(-5,0) / (3,0) / (3,-3) / (5,-1) / (6,-3) / (1,0) / (-3,0) / (5,0) / (3,-5) / (5,-5) / (6,-4)",5,"(0,-2)/(-4,1)/(0,3)/(1,0)/(5,5)/(3,-2)"
RutaValencianaIITioPep2024,5.67,c,A,1,2,"(1,0) / (3,0) / (2,-1) / (3,0) / (1,-2) / (3,-3) / (5,0) / (-3,-3) / (0,-1) / (2,-4) / (2,0) / (4,-4) /",5,"(0,4)/(2,-2)/(2,3)/(3,3)/(6,-1)/(3,-2)"
KoreanChampionship2024,5.67,d,C,0,1,"(-2,0) / (5,-1) / (0,-3) / (3,0) / (-5,-5) / (0,-3) / (-4,-3) / (3,0) / (-5,-4) / (0,-2) / (6,-2) / (0,-4) /",5,"(2,0)/(5,1)/(0,3)/(0,-3)/(-5,-3)/(2,0)"
KoreanChampionship2024,5.67,d,C,0,2,"(-2,0) / (0,3) / (2,5) / (0,-3) / (1,-2) / (5,-1) / (0,-5) / (3,0) / (0,-3) / (0,-5) / (5,0) / (3,0)",6,"(6,0)/(0,5)/(-3,-2)/(-3,0)/(3,2)/(-5,-5)/(2,0)"
KoreanChampionship2024,5.67,d,C,0,3,"(4,0) / (-3,0) / (3,0) / (0,-3) / (0,-3) / (6,0) / (0,-1) / (-3,0) / (-3,-2) / (-2,0)",4,"(2,-3)/(0,-1)/(-3,0)/(0,-2)/(2,0)"
KoreanChampionship2024,5.67,d,C,0,4,"(0,-1) / (3,-3) / (4,-2) / (3,0) / (-4,-4) / (4,0) / (3,0) / (2,-3) / (0,-2) / (-4,0) / (3,0) / (4,0)",7,"(-2,-2)/(-5,0)/(2,0)/(-3,-2)/(2,1)/(0,3)/(-2,3)/(2,0)"
KoreanChampionship2024,5.67,d,C,0,5,"(1,0) / (-4,2) / (0,-3) / (4,-5) / (-3,0) / (3,0) / (-1,-3) / (-3,0) / (6,-1) / (4,-2) / (4,-1) / (0,-2) /",6,"/(0,2)/(-2,0)/(1,0)/(3,0)/(-3,4)/(2,0)"
KoreanChampionship2024,5.67,d,C,1,1,"(-3,-1) / (3,-3) / (-2,-2) / (0,-3) / (5,-4) / (3,-2) / (-3,-3) / (-3,0) / (-5,-1) / (-4,0) / (-2,-4)",7,"(2,2)/(-2,0)/(-4,-2)/(4,-2)/(1,-4)/(3,3)/(-3,1)/(2,0)"
KoreanChampionship2024,5.67,d,C,1,2,"(0,-4) / (1,4) / (0,-3) / (-3,0) / (5,0) / (0,-3) / (-2,0) / (-4,0) / (4,-3) / (6,-5) / (0,-2) / (4,-3) / (-3,-1)",8,"(3,3)/(-2,0)/(0,-2)/(0,-1)/(0,2)/(2,1)/(3,3)/(4,0)/(2,0)"
RitmoBoyacaInnovoDuitama2024,5.67,d,B,0,1,"(1,0) / (0,-3) / (0,-3) / (6,0) / (2,-1) / (-3,-3) / (-3,-2) / (3,0) / (1,-3) / (0,-1) / (-2,0) / (-4,-5) / (-3,0)",8,"(3,0)/(-2,-1)/(0,2)/(2,-2)/(3,-3)/(0,-3)/(3,0)/(0,1)/(2,0)"
RitmoBoyacaInnovoDuitama2024,5.67,d,B,0,2,"(-2,0) / (-4,-1) / (0,-3) / (-3,-3) / (-5,-2) / (0,-4) / (3,0) / (-4,-3) / (1,0) / (0,-4) /",5,"(0,-5)/(2,0)/(1,3)/(0,3)/(-1,0)/(3,-2)"
RitmoBoyacaInnovoDuitama2024,5.67,d,B,0,3,"(3,5) / (3,6) / (-2,-5) / (3,0) / (-3,-3) / (2,0) / (3,0) / (-5,0) / (3,0) / (0,-1) / (6,-2)",6,"(0,-4)/(4,-1)/(0,-3)/(5,0)/(0,3)/(-2,-5)/(2,0)"
RitmoBoyacaInnovoDuitama2024,5.67,d,B,0,4,"(0,-4) / (6,-3) / (1,4) / (2,0) / (0,-3) / (0,-1) / (6,-2) / (4,-3) / (-2,0) / (2,0) / (5,0) / (1,0) /",7,"(-1,3)/(0,2)/(0,-2)/(0,-4)/(3,-2)/(-3,-2)/(6,3)/(2,-2)"
RitmoBoyacaInnovoDuitama2024,5.67,d,B,0,5,"(1,0) / (5,2) / (-3,0) / (1,-5) / (2,-1) / (-5,0) / (3,0) / (0,-3) / (-2,-4) / (4,-3) / (-5,0)",5,"(5,0)/(2,-3)/(-2,-1)/(-3,0)/(0,-5)/(2,0)"
RitmoBoyacaInnovoDuitama2024,5.67,d,B,1,1,"(1,0) / (-4,-1) / (0,-3) / (4,-2) / (-3,0) / (0,-3) / (-3,-4) / (-3,-3) / (-1,0) / (0,-4) / (0,-4) / (2,-2) /",7,"(2,2)/(4,-2)/(0,4)/(2,3)/(3,3)/(-5,0)/(5,-4)/(3,-2)"
RitmoBoyacaInnovoDuitama2024,5.67,d,B,1,2,"(3,-1) / (1,-2) / (2,-4) / (1,-2) / (3,0) / (-1,-3) / (-3,0) / (0,-3) / (6,-3) / (2,0) / (0,-5) /",6,"(0,3)/(1,2)/(3,0)/(-3,1)/(3,-3)/(-1,-4)/(3,-2)"
DesafioCenturyHonduras2024,5.67,c,A,0,1,"(0,2) / (3,3) / (-3,0) / (-5,-5) / (0,-3) / (3,0) / (2,-3) / (-3,0) / (0,-1) / (6,-5) / (2,0) / (0,-3) / (2,0)",6,"(-2,3)/(-2,2)/(-5,0)/(-3,0)/(-3,0)/(2,-3)/(3,-2)"
DesafioCenturyHonduras2024,5.67,c,A,0,2,"(0,5) / (-5,1) / (2,-1) / (0,-3) / (4,-5) / (-3,-1) / (0,-3) / (-3,-2) / (0,-4)",6,"(3,-2)/(-1,-4)/(1,3)/(3,-3)/(0,3)/(-4,3)/(3,-2)"
DesafioCenturyHonduras2024,5.67,c,A,0,3,"(4,-3) / (5,-4) / (-2,-5) / (3,0) / (-3,0) / (-3,-1) / (3,0) / (-4,0) / (-3,0) / (-2,-2) /",5,"(-4,0)/(3,-3)/(0,-3)/(3,0)/(6,-2)/(2,0)"
DesafioCenturyHonduras2024,5.67,c,A,0,4,"(0,2) / (-3,0) / (4,1) / (0,-3) / (-4,-4) / (-2,-5) / (5,0) / (6,-3) / (-4,-3) / (6,-5) / (0,-4) / (-2,0)",5,"(6,0)/(-3,2)/(0,-1)/(0,-3)/(-3,-5)/(2,0)"
DesafioCenturyHonduras2024,5.67,c,A,0,5,"(0,5) / (-5,1) / (-4,-1) / (1,-5) / (2,-3) / (0,-3) / (0,-1) / (0,-4) / (0,-2) / (-3,-4) / (4,-2)",8,"(2,2)/(-2,2)/(1,-4)/(2,-3)/(0,2)/(0,1)/(0,3)/(4,6)/(2,0)"
DesafioCenturyHonduras2024,5.67,c,A,1,1,"(-5,0) / (-4,-4) / (-3,0) / (3,0) / (4,-5) / (0,-3) / (5,0) / (0,-3) / (0,-3) / (-3,-4) / (2,0) / (1,0) / (6,0)",7,"(6,0)/(-1,0)/(2,0)/(-3,0)/(2,1)/(0,3)/(-2,-3)/(2,0)"
DesafioCenturyHonduras2024,5.67,c,A,1,2,"(1,0) / (3,3) / (-1,2) / (-5,-5) / (3,0) / (-4,-3) / (-3,-3) / (0,-5) / (-2,0) / (2,0) / (-2,0) / (5,0) /",8,"(-4,-1)/(2,1)/(-1,4)/(-2,1)/(2,0)/(1,3)/(0,3)/(0,4)/(2,0)"
HariHariHoras32024,5.67,c,B,0,1,"(0,-1) / (0,3) / (4,4) / (-3,0) / (-1,-4) / (-3,-3) / (4,0) / (3,0) / (-3,-5) / (5,0) / (1,0) / (6,0)",6,"(0,-1)/(-5,0)/(2,-3)/(0,3)/(-3,0)/(-3,1)/(2,0)"
HariHariHoras32024,5.67,c,B,0,2,"(-5,0) / (-1,-1) / (0,-3) / (1,-2) / (0,-3) / (0,-3) / (0,-4) / (-3,0) / (0,-2) / (0,-4) / (1,0)",6,"(-4,-2)/(0,-4)/(1,2)/(2,3)/(0,3)/(4,-3)/(2,0)"
HariHariHoras32024,5.67,c,B,0,3,"(0,5) / (1,-2) / (-4,2) / (-2,-5) / (-3,0) / (-1,-3) / (-3,0) / (0,-1) / (-4,0) / (4,0) / (2,0) / (-2,0) / (6,-5)",7,"(2,3)/(-4,0)/(0,2)/(-4,1)/(2,3)/(3,0)/(-2,3)/(2,0)"
HariHariHoras32024,5.67,c,B,0,4,"(0,5) / (1,-5) / (2,5) / (1,-5) / (-1,-4) / (3,-2) / (0,-3) / (3,-3) / (-3,0) / (3,0)",5,"(-3,0)/(-3,0)/(0,3)/(3,1)/(2,5)/(3,-2)"
HariHariHoras32024,5.67,c,B,0,5,"(0,5) / (0,3) / (-5,-5) / (2,-4) / (-3,0) / (1,0) / (-3,0) / (5,-2) / (4,0) / (2,-3) / (-2,-4) / (-5,0) /",7,"(6,0)/(1,-4)/(-2,0)/(0,1)/(0,-4)/(0,3)/(3,-2)/(2,0)"
HariHariHoras32024,5.67,c,B,1,1,"(-2,0) / (0,-3) / (0,3) / (2,-1) / (0,-3) / (-2,0) / (3,0) / (0,-5) / (-4,-1) / (-5,0) / (-4,-1) / (4,0) / (6,-2)",7,"(-3,-2)/(0,5)/(-3,2)/(0,4)/(-3,2)/(3,0)/(-1,-3)/(3,-2)"
HariHariHoras32024,5.67,c,B,1,2,"(0,-4) / (-3,3) / (0,3) / (1,-2) / (3,0) / (-4,-4) / (0,-2) / (3,0) / (1,0) / (-2,-3) / (-4,-1)",5,"(4,1)/(4,-1)/(-3,-2)/(-3,0)/(3,5)/(3,-2)"
SideEventsBangaloreJune2024,5.67,c,B,0,1,"(0,5) / (1,-2) / (0,-3) / (-1,-4) / (0,-3) / (0,-3) / (6,-2) / (0,-3) / (0,-1) / (-5,0) / (0,-4) / (0,-3) / (6,0) / (2,0)",7,"(-2,-3)/(-3,0)/(-2,3)/(5,1)/(0,-1)/(1,-3)/(-3,-3)/"
SideEventsBangaloreJune2024,5.67,c,B,0,2,"(4,0) / (0,-3) / (0,3) / (-3,0) / (-4,-1) / (0,-3) / (-2,0) / (3,0) / (2,-5) / (-4,0) / (0,-2) / (0,-2) / (3,0)",7,"(2,0)/(-5,0)/(-1,0)/(0,2)/(1,-4)/(3,0)/(-4,0)/(3,-2)"
SideEventsBangaloreJune2024,5.67,c,B,0,3,"(0,-1) / (3,0) / (0,3) / (6,0) / (-2,-2) / (3,0) / (0,-3) / (-1,0) / (-3,-3) / (-4,-3) / (4,0) / (4,0) / (4,0) /",6,"(0,-4)/(0,2)/(-4,1)/(3,3)/(-3,2)/(4,1)/(2,0)"
SideEventsBangaloreJune2024,5.67,c,B,0,4,"(-5,3) / (2,5) / (-2,-5) / (-4,-1) / (3,0) / (6,-5) / (3,0) / (-5,-4) / (-3,-4) / (0,-2) / (-1,-2)",7,"(1,2)/(0,2)/(-3,-2)/(4,2)/(0,-3)/(3,0)/(-3,2)/(3,-2)"
