competition_id,mean,round_type_id,group_id,scramble_num,scramble,cspobl_slicecount,cspobl_solution
FMCTijuasI2026,5.6,c,B,1,"(1,0) / (5,5) / (-3,3) / (3,0) / (3,0) / (-2,-5) / (0,-1) / (-3,0) / (3,0) / (-3,0) / (3,0) / (0,-3)",3,"(0,-5)/(0,3)/(2,5)/(3,-2)"
FMCTijuasI2026,5.6,c,B,2,"(-5,0) / (6,3) / (5,-1) / (4,-2) / (3,0) / (-4,0) / (0,-3) / (0,-1) / (0,-4) / (-2,0) / (-3,-4) / (6,-4) / (2,0)",7,"(2,0)/(-1,-2)/(0,-2)/(-3,-2)/(-2,-1)/(0,-3)/(-4,6)/(3,-2)"
FMCTijuasI2026,5.6,c,B,3,"(-2,0) / (-3,0) / (2,5) / (0,-3) / (-3,-3) / (-2,-5) / (0,-1) / (6,-3) / (1,0) / (-3,-2) / (2,0) / (0,-2) /",7,"(1,-4)/(2,3)/(4,-2)/(2,0)/(0,-1)/(-3,0)/(-3,-5)/(2,0)"
FMCTijuasI2026,5.6,c,B,4,"(-2,0) / (5,-4) / (6,-3) / (-2,-5) / (3,0) / (3,-4) / (-3,-3) / (-1,0) / (-4,0) / (-2,0) / (2,-3)",5,"(4,-1)/(4,0)/(-3,-2)/(3,3)/(-4,-3)/(3,-2)"
FMCTijuasI2026,5.6,c,B,5,"(1,0) / (-4,5) / (-2,4) / (3,0) / (-1,-1) / (6,0) / (0,-2) / (-3,0) / (4,0) / (0,-1) / (-1,0) / (-5,0) / (0,-3)",6,"(0,3)/(-1,-2)/(-3,0)/(-5,0)/(2,2)/(1,1)/(2,0)"
AvenidaChileXXIII2025,5.6,d,B,1,"(0,-4) / (3,3) / (0,6) / (-3,0) / (-2,-5) / (3,0) / (2,-3) / (-3,-3) / (0,-1) / (-2,0) / (4,0) / (0,-2) / (-2,0)",7,"(2,0)/(-4,2)/(-2,0)/(-3,-2)/(3,3)/(-4,0)/(4,-5)/(2,0)"
AvenidaChileXXIII2025,5.6,d,B,2,"(0,-4) / (-5,4) / (3,0) / (0,-3) / (2,-1) / (-3,-5) / (3,0) / (3,-3) / (-4,-5) / (6,-4) /",6,"(4,-2)/(-4,2)/(4,0)/(0,-1)/(1,-3)/(-3,6)/"
AvenidaChileXXIII2025,5.6,d,B,3,"(3,-1) / (3,-3) / (-2,-5) / (3,0) / (2,-4) / (-5,0) / (-3,-3) / (3,0) / (4,0) / (6,0) / (-4,0) / (-2,0)",5,"(2,-2)/(-4,-2)/(1,4)/(3,3)/(-1,3)/(3,-2)"
AvenidaChileXXIII2025,5.6,d,B,4,"(-2,0) / (3,0) / (6,3) / (3,0) / (-1,-1) / (-5,0) / (-3,-3) / (-1,0) / (4,0) / (-2,0) /",6,"(0,-4)/(4,0)/(3,-2)/(3,3)/(0,4)/(-1,-4)/(3,-2)"
AvenidaChileXXIII2025,5.6,d,B,5,"(4,0) / (-1,5) / (0,-3) / (-3,0) / (1,-2) / (-1,-4) / (-2,0) / (0,-3) / (-1,0) / (-2,-2) / (3,0) / (-4,0)",4,"(0,-1)/(4,1)/(-3,2)/(6,-3)/"
SingaporeSkewbyMarch2025,5.6,f,A,1,"(4,0) / (0,3) / (-1,5) / (3,0) / (-3,0) / (1,-2) / (0,-1) / (-3,-3) / (1,0) / (0,-2) / (4,-4) / (0,-2) / (-2,-3)",6,"(2,1)/(-2,2)/(2,-2)/(1,-4)/(3,3)/(6,1)/(2,0)"
SingaporeSkewbyMarch2025,5.6,f,A,2,"(0,-4) / (0,3) / (-5,1) / (-3,-3) / (0,-3) / (-3,-3) / (0,-1) / (0,-3) / (-3,-2) / (0,-2) / (2,0) / (0,-4) / (4,0) /",7,"(0,-4)/(-2,0)/(3,-2)/(1,-3)/(2,0)/(3,0)/(3,-1)/(3,-2)"
SingaporeSkewbyMarch2025,5.6,f,A,3,"(-3,5) / (-5,1) / (3,0) / (0,-3) / (5,-1) / (6,-2) / (0,-3) / (4,0) / (0,-3) / (2,-4) / (-4,0) / (4,0)",5,"(-4,0)/(2,-2)/(2,3)/(3,0)/(0,-4)/(3,-2)"
SingaporeSkewbyMarch2025,5.6,f,A,4,"(0,2) / (-5,1) / (-1,2) / (3,0) / (-5,-2) / (-3,0) / (5,0) / (6,0) / (-3,0) / (0,-3) / (3,-5)",4,"(2,2)/(3,-2)/(-3,0)/(1,6)/(2,0)"
SingaporeSkewbyMarch2025,5.6,f,A,5,"(-3,5) / (-5,4) / (2,-4) / (6,-3) / (0,-3) / (4,0) / (0,-3) / (0,-2) / (0,-1) / (-4,0) / (-4,-1) /",6,"(1,-2)/(0,-2)/(0,-4)/(0,-1)/(0,-3)/(5,3)/(3,-2)"
KoreanChampionship2024,5.6,d,C,1,"(-2,0) / (5,-1) / (0,-3) / (3,0) / (-5,-5) / (0,-3) / (-4,-3) / (3,0) / (-5,-4) / (0,-2) / (6,-2) / (0,-4) /",5,"(2,0)/(5,1)/(0,3)/(0,-3)/(-5,-3)/(2,0)"
KoreanChampionship2024,5.6,d,C,2,"(-2,0) / (0,3) / (2,5) / (0,-3) / (1,-2) / (5,-1) / (0,-5) / (3,0) / (0,-3) / (0,-5) / (5,0) / (3,0)",6,"(6,0)/(0,5)/(-3,-2)/(-3,0)/(3,2)/(-5,-5)/(2,0)"
KoreanChampionship2024,5.6,d,C,3,"(4,0) / (-3,0) / (3,0) / (0,-3) / (0,-3) / (6,0) / (0,-1) / (-3,0) / (-3,-2) / (-2,0)",4,"(2,-3)/(0,-1)/(-3,0)/(0,-2)/(2,0)"
KoreanChampionship2024,5.6,d,C,4,"(0,-1) / (3,-3) / (4,-2) / (3,0) / (-4,-4) / (4,0) / (3,0) / (2,-3) / (0,-2) / (-4,0) / (3,0) / (4,0)",7,"(-2,-2)/(-5,0)/(2,0)/(-3,-2)/(2,1)/(0,3)/(-2,3)/(2,0)"
KoreanChampionship2024,5.6,d,C,5,"(1,0) / (-4,2) / (0,-3) / (4,-5) / (-3,0) / (3,0) / (-1,-3) / (-3,0) / (6,-1) / (4,-2) / (4,-1) / (0,-2) /",6,"/(0,2)/(-2,0)/(1,0)/(3,0)/(-3,4)/(2,0)"
RenoWinter2024,5.6,c,A,1,"(6,-4) / (4,-2) / (-3,0) / (3,0) / (-4,-1) / (6,-5) / (3,0) / (0,-4) / (1,-2)",6,"(2,2)/(3,-2)/(0,-3)/(1,3)/(2,2)/(6,-3)/(3,-2)"
RenoWinter2024,5.6,c,A,2,"(1,0) / (3,0) / (0,-3) / (-4,-4) / (-5,-5) / (5,-4) / (-2,0) / (-3,0) / (5,-2) / (-2,-4) / (1,0) / (-2,0) /",6,"(0,-2)/(0,-2)/(-4,0)/(3,-2)/(3,3)/(3,1)/(2,0)"
RenoWinter2024,5.6,c,A,3,"(-5,0) / (5,2) / (0,-3) / (3,0) / (-2,-2) / (5,0) / (3,0) / (0,-4) / (1,0) / (-2,0) / (-4,0) / (-5,0) / (2,0) / (-3,0)",7,"(5,0)/(-4,-2)/(3,-2)/(2,2)/(0,2)/(-3,-2)/(6,3)/(2,-2)"
RenoWinter2024,5.6,c,A,4,"(0,-1) / (-5,1) / (-4,5) / (0,-3) / (-5,-2) / (3,0) / (0,-1) / (0,-3) / (-1,0) / (-3,-4) / (-5,0) / (4,0) / (-1,0) /",6,"(2,0)/(1,4)/(0,2)/(0,-2)/(-3,0)/(0,2)/(3,-2)"
RenoWinter2024,5.6,c,A,5,"(-3,5) / (-2,1) / (3,-3) / (5,-1) / (3,0) / (-3,-2) / (0,-3) / (4,0) / (5,-3) / (0,-3) / (6,0)",3,"(0,2)/(1,-2)/(0,-3)/(2,0)"
JohorCubeOpen2018,5.6,c,A,1,"(0,-4) / (-2,4) / (0,3) / (-1,-1) / (0,-3) / (3,-3) / (-5,0) / (-3,-3) / (-1,-4) / (2,0) / (0,-2) / (-4,0) /",6,"(4,2)/(-2,0)/(-4,-2)/(2,-3)/(3,3)/(-2,3)/(2,0)"
JohorCubeOpen2018,5.6,c,A,2,"(-2,0) / (0,-3) / (-3,-3) / (-3,0) / (-1,-4) / (-2,0) / (3,0) / (2,-5) / (0,-2)",5,"(0,2)/(4,-1)/(0,-3)/(2,0)/(1,4)/(2,0)"
JohorCubeOpen2018,5.6,c,A,3,"(1,3) / (3,0) / (3,0) / (-1,-4) / (-2,-5) / (-1,0) / (0,-3) / (0,-1) / (3,-4) / (-2,0) / (-3,-4) / (0,-4)",6,"(-3,2)/(0,2)/(0,-2)/(0,1)/(0,3)/(0,-4)/(3,-2)"
JohorCubeOpen2018,5.6,c,A,4,"(4,-3) / (0,-3) / (0,3) / (-4,-1) / (0,-3) / (-3,-3) / (1,0) / (3,0) / (3,-5) / (0,-4) / (3,0) / (3,0)",4,"(2,3)/(-3,0)/(4,1)/(-4,-1)/(3,-2)"
JohorCubeOpen2018,5.6,c,A,5,"(4,0) / (0,3) / (2,-1) / (-3,0) / (0,-3) / (3,0) / (-2,0) / (-3,0) / (5,-2) / (4,0) / (0,-1) / (2,-5) / (0,-5) / (2,0)",7,"(2,-3)/(0,-4)/(1,0)/(3,-2)/(2,0)/(-3,-2)/(6,3)/(2,-2)"
EvanstonQualifier2026,5.8,d,A,1,"(1,3) / (2,-4) / (0,-3) / (4,-5) / (-3,-3) / (-1,0) / (6,0) / (6,0) / (-2,0) / (-1,-4) /",2,"(1,-2)/(2,5)/(3,-2)"
EvanstonQualifier2026,5.8,d,A,2,"(-2,0) / (0,3) / (0,-3) / (5,-4) / (3,0) / (0,-3) / (4,0) / (-3,-3) / (-1,0) / (-4,0) / (1,0) / (6,0)",7,"(6,0)/(-1,0)/(4,0)/(1,0)/(3,3)/(-4,0)/(-5,4)/(2,0)"
EvanstonQualifier2026,5.8,d,A,3,"(4,0) / (3,0) / (6,-3) / (2,-1) / (6,-3) / (-2,-3) / (-3,0) / (5,-2) / (4,0) / (-4,-3) / (6,-1)",6,"(2,-3)/(1,2)/(-4,0)/(-1,4)/(-3,0)/(-5,-3)/(2,0)"
EvanstonQualifier2026,5.8,d,A,4,"(3,5) / (6,0) / (0,-3) / (-5,-5) / (-3,0) / (0,-4) / (0,-3) / (0,-3) / (0,-5) / (0,-2) / (3,0) / (0,-4) / (-2,0) / (4,0)",7,"(0,1)/(1,-4)/(1,4)/(0,-2)/(-4,1)/(3,3)/(1,3)/(2,0)"
EvanstonQualifier2026,5.8,d,A,5,"(0,5) / (0,3) / (4,4) / (6,0) / (-1,-4) / (0,-2) / (3,0) / (-5,0) / (-4,0) / (4,0) / (0,-3) / (-4,0) / (-2,0) /",7,"(0,-1)/(3,-2)/(2,-3)/(-2,-1)/(-3,0)/(-3,-2)/(3,0)/(2,0)"
NoRushHasselt2026,5.8,c,B,1,"(0,-1) / (4,-5) / (0,-3) / (-4,-1) / (3,-3) / (6,0) / (-2,0) / (0,-3) / (-3,0) / (-3,-2) / (0,-2) / (6,-4) / (4,0)",7,"(2,-3)/(-2,0)/(4,-1)/(3,1)/(0,3)/(0,-3)/(4,6)/(2,0)"
NoRushHasselt2026,5.8,c,B,2,"(1,-3) / (-3,0) / (-4,-1) / (0,-3) / (-3,0) / (-2,-2) / (0,-4) / (0,-3) / (3,-2) / (-4,-4) / (0,-5)",4,"(3,-3)/(3,-3)/(0,-3)/(3,-5)/(2,0)"
NoRushHasselt2026,5.8,c,B,3,"(1,0) / (0,3) / (0,-3) / (6,-3) / (-3,0) / (-1,-1) / (0,-2) / (-3,0) / (4,0) / (5,0) / (-4,-3) / (-2,0) / (-2,0) / (-4,0)",7,"(4,0)/(2,0)/(2,0)/(-2,-3)/(2,1)/(3,0)/(0,2)/(3,-2)"
NoRushHasselt2026,5.8,c,B,4,"(0,2) / (-3,-3) / (3,0) / (1,-5) / (-4,-1) / (-2,-3) / (3,0) / (0,-5) / (2,0) / (0,-2) / (6,0) / (0,-4)",5,"(0,-2)/(-4,0)/(-1,4)/(-3,0)/(6,5)/(3,-2)"
NoRushHasselt2026,5.8,c,B,5,"(-2,3) / (-3,6) / (2,-4) / (-3,0) / (0,-3) / (0,-3) / (4,0) / (0,-3) / (-3,0) / (3,-2) / (4,0) / (0,-1) / (0,-1)",6,"(0,-4)/(2,-1)/(2,-3)/(-1,-2)/(-3,0)/(-3,-4)/(3,-2)"
DebicaCubingWinter2026,5.8,c,B,1,"(0,-1) / (0,-3) / (6,-3) / (-2,-5) / (-3,0) / (2,-3) / (3,0) / (1,-3) / (-1,0) / (5,0)",5,"(-2,1)/(3,0)/(3,2)/(0,3)/(-1,-3)/(3,-2)"
DebicaCubingWinter2026,5.8,c,B,2,"(3,-1) / (1,-2) / (3,-3) / (2,-1) / (-3,0) / (-2,0) / (3,0) / (3,0) / (-5,-3)",6,"(2,-3)/(3,2)/(4,0)/(-3,0)/(3,1)/(5,2)/(3,-2)"
DebicaCubingWinter2026,5.8,c,B,3,"(0,2) / (-3,-3) / (3,0) / (4,-5) / (0,-3) / (-4,-4) / (-5,0) / (-3,-3) / (-3,0) / (-4,-2) / (-4,0) / (0,-2) /",7,"(2,-2)/(-3,-2)/(4,2)/(0,2)/(-2,3)/(-3,0)/(2,0)/(3,-2)"
DebicaCubingWinter2026,5.8,c,B,4,"(-5,0) / (6,3) / (-4,-1) / (-2,-5) / (3,-3) / (5,-3) / (0,-3) / (-2,-3) / (0,-2) / (-4,0) / (0,-2) /",7,"(0,2)/(0,-4)/(4,-2)/(-4,0)/(1,-4)/(0,3)/(6,1)/(2,0)"
DebicaCubingWinter2026,5.8,c,B,5,"(1,0) / (3,3) / (2,-1) / (3,0) / (-5,-2) / (5,0) / (0,-3) / (-3,-3) / (-3,0) /",4,"(3,-3)/(4,0)/(3,-3)/(-4,-1)/(3,-2)"
BilbaoOpen2025,5.8,f,A,1,"(0,2) / (0,-3) / (4,1) / (-3,-3) / (0,-3) / (-3,-3) / (5,0) / (3,0) / (-5,0) / (3,0) / (6,0) /",4,"/(-1,-3)/(-3,0)/(-3,-4)/(3,-2)"
BilbaoOpen2025,5.8,f,A,2,"(0,5) / (6,3) / (-2,4) / (5,-4) / (-3,0) / (3,-5) / (0,-3) / (-3,-3) / (-3,0)",4,"(3,-3)/(0,5)/(0,-3)/(4,1)/(2,0)"
BilbaoOpen2025,5.8,f,A,3,"(0,2) / (3,0) / (-3,0) / (-2,-5) / (3,0) / (3,0) / (5,0) / (-3,0) / (4,-1) / (6,-2) / (-2,0) / (-4,0)",8,"(4,0)/(2,0)/(0,-4)/(0,-4)/(4,1)/(2,3)/(3,0)/(4,3)/(2,0)"
BilbaoOpen2025,5.8,f,A,4,"(0,2) / (0,3) / (1,4) / (0,-3) / (-3,-3) / (6,0) / (-4,0) / (-3,-3) / (2,0) / (-5,0) / (0,-3) / (-2,0) / (-2,0)",6,"(-4,-2)/(4,2)/(2,0)/(3,0)/(3,3)/(2,0)/(3,-2)"
BilbaoOpen2025,5.8,f,A,5,"(0,-1) / (-3,-3) / (-2,-5) / (3,0) / (5,-1) / (0,-3) / (-2,0) / (-3,-3) / (-5,-4) / (-2,-4) / (-2,-4) /",7,"(2,2)/(2,2)/(4,0)/(3,2)/(3,3)/(2,0)/(-3,6)/(3,-2)"
SparkMelbourneJuly2025,5.8,d,A,1,"(0,5) / (-3,0) / (-3,0) / (0,-3) / (6,0) / (-5,-2) / (-3,-1) / (-3,-3) / (5,0) / (-2,-4) / (6,-4) / (-4,-3) /",7,"(5,0)/(-4,1)/(-2,0)/(2,0)/(1,-4)/(3,3)/(-1,3)/(3,-2)"
SparkMelbourneJuly2025,5.8,d,A,2,"(-3,-1) / (-5,-2) / (-1,-4) / (-2,-5) / (-1,-4) / (0,-5) / (-3,-3) / (-3,0) / (-5,-1) / (2,0) / (4,0) /",5,"(-4,2)/(0,-2)/(0,-2)/(2,1)/(3,3)/"
SparkMelbourneJuly2025,5.8,d,A,3,"(-5,0) / (3,-3) / (-3,0) / (-4,-1) / (-3,0) / (-5,0) / (-3,-3) / (6,-2) / (6,-1) / (4,-5) / (2,-2) /",7,"(6,0)/(0,-4)/(0,4)/(1,2)/(3,3)/(2,3)/(4,1)/(2,0)"
SparkMelbourneJuly2025,5.8,d,A,4,"(1,0) / (2,5) / (6,-3) / (4,-2) / (0,-3) / (-3,0) / (-1,0) / (-3,0) / (3,0) / (-5,-1) / (-4,0) / (2,0) /",6,"(2,-2)/(-4,0)/(4,2)/(-2,0)/(2,1)/(3,0)/"
SparkMelbourneJuly2025,5.8,d,A,5,"(-2,3) / (-4,2) / (1,-2) / (5,-4) / (3,0) / (-3,-2) / (6,0) / (3,-3) / (-3,0) / (-1,0) /",4,"/(1,-3)/(3,3)/(0,4)/(2,0)"
DFWCubingSpring2025,5.8,f,A,1,"(-5,3) / (2,-1) / (3,0) / (-3,-3) / (-5,-2) / (6,-4) / (-3,-3) / (-5,-2) / (6,-4) / (4,0) / (-1,0)",7,"(1,4)/(-1,-4)/(0,-3)/(1,0)/(-2,-1)/(-3,-2)/(-3,0)/"
DFWCubingSpring2025,5.8,f,A,2,"(-2,3) / (-1,2) / (-2,-5) / (-1,-1) / (3,0) / (1,-3) / (3,0) / (2,-5) / (0,-2) / (-4,0) / (-1,-4) /",8,"(2,-2)/(3,-2)/(0,2)/(3,-2)/(0,-4)/(-4,0)/(3,-2)/(-3,-3)/"
DFWCubingSpring2025,5.8,f,A,3,"(0,-1) / (0,3) / (3,0) / (-3,0) / (-2,-2) / (0,-3) / (-3,-4) / (3,0) / (-3,0) / (5,-5) / (-4,0) / (1,0) / (6,0) /",7,"(6,0)/(-3,0)/(2,2)/(3,2)/(0,1)/(0,3)/(-3,5)/(3,-2)"
DFWCubingSpring2025,5.8,f,A,4,"(0,2) / (4,-5) / (5,-1) / (4,-2) / (5,-4) / (6,-2) / (0,-3) / (3,-3) / (5,-2)",2,"(1,2)/(6,-3)/"
DFWCubingSpring2025,5.8,f,A,5,"(0,2) / (3,0) / (3,3) / (0,-3) / (-5,-2) / (-4,-1) / (0,-2) / (6,0) / (3,-3) / (-4,-5) / (-2,0) / (0,-4)",5,"(0,4)/(2,0)/(1,2)/(3,3)/(-4,0)/(3,-2)"
NinosHeroesJalisco2024,5.8,f,A,1,"(0,-1) / (1,1) / (3,0) / (5,-4) / (-3,0) / (-2,-2) / (0,-1) / (0,-3) / (5,-3) / (6,-3)",4,"(-2,3)/(0,-3)/(5,0)/(-5,-5)/(2,0)"
NinosHeroesJalisco2024,5.8,f,A,2,"(4,0) / (3,0) / (-4,-1) / (-5,-2) / (0,-3) / (-1,-3) / (0,-3) / (0,-1) / (3,-2) / (-2,0) / (-3,0) / (-2,-3) / (3,0)",8,"(2,1)/(1,-2)/(-1,0)/(0,2)/(1,-4)/(3,3)/(3,-2)/(5,2)/(3,-2)"
NinosHeroesJalisco2024,5.8,f,A,3,"(-3,-4) / (-3,3) / (1,-2) / (0,-3) / (-1,-4) / (-2,-3) / (0,-3) / (-1,-3) / (-5,-5) / (-4,0) / (2,0)",4,"(-2,3)/(0,-3)/(3,0)/(-3,-4)/(3,-2)"
NinosHeroesJalisco2024,5.8,f,A,4,"(0,5) / (-5,1) / (0,3) / (2,-1) / (0,-2) / (-3,0) / (0,-1) / (-4,0) / (4,0) / (-4,0) / (4,-3) / (0,-2) / (-2,-2)",7,"(0,5)/(0,2)/(2,1)/(-2,3)/(0,5)/(1,-3)/(3,0)/(2,-2)"
NinosHeroesJalisco2024,5.8,f,A,5,"(-2,0) / (-4,-1) / (0,3) / (-3,-3) / (-2,-2) / (5,0) / (-3,-3) / (-2,-5) / (0,-2) / (4,0) / (2,0) / (-4,-2)",6,"(6,0)/(-2,0)/(0,-4)/(1,2)/(3,3)/(3,-5)/(2,0)"
WichitaFamilyArtVenture2024,5.8,1,B,1,"(0,2) / (1,-5) / (-1,2) / (3,0) / (0,-3) / (-5,-5) / (0,-1) / (6,0) / (6,0) / (-4,0) / (0,-2)",2,"(-3,2)/(3,0)/(3,-2)"
WichitaFamilyArtVenture2024,5.8,1,B,2,"(0,5) / (-2,1) / (2,5) / (-3,0) / (3,0) / (1,-2) / (0,-4) / (6,0) / (3,-3) / (-5,0) / (-4,0) / (0,-2) /",6,"(2,-2)/(0,4)/(-4,0)/(1,2)/(3,3)/(-3,-2)/(2,0)"
