competition_id,mean,round_type_id,group_id,scramble_num,scramble,cspobl_slicecount,cspobl_solution
WichitaFamilyArtVenture2024,5.8,1,B,3,"(0,5) / (-3,0) / (4,1) / (3,0) / (-3,0) / (3,0) / (0,-3) / (-1,0) / (-3,-3) / (0,-1) / (0,-2) / (0,-4) / (0,-2) / (4,-2)",7,"(-4,2)/(-4,2)/(-4,-2)/(-3,-2)/(3,3)/(-3,1)/(6,-3)/(2,0)"
WichitaFamilyArtVenture2024,5.8,1,B,4,"(0,-1) / (1,4) / (3,0) / (0,-3) / (6,0) / (-3,0) / (6,-1) / (0,-3) / (-1,0) / (0,-4) / (0,-2) / (-3,-4) / (0,-3) /",7,"(3,0)/(-2,-1)/(2,0)/(-2,0)/(-4,1)/(3,0)/(6,5)/(3,-2)"
WichitaFamilyArtVenture2024,5.8,1,B,5,"(0,5) / (0,3) / (4,-5) / (5,-4) / (3,0) / (-3,0) / (0,-5) / (0,-3) / (-2,0) / (5,0) / (0,-5) / (-2,-1) / (-1,-2)",7,"(1,2)/(2,-3)/(3,2)/(3,-2)/(3,-3)/(0,-3)/(6,4)/(2,0)"
ThankfulforCubingRPV2023,5.8,d,A,1,"(0,-4) / (-2,-5) / (3,0) / (-1,-1) / (1,-2) / (-3,0) / (-1,0) / (6,-3) / (3,-3) / (3,0) /",5,"(0,-3)/(0,3)/(3,-2)/(2,2)/(-5,-5)/(2,0)"
ThankfulforCubingRPV2023,5.8,d,A,2,"(0,-4) / (-5,4) / (3,-3) / (-1,-4) / (0,-3) / (-2,-3) / (6,-3) / (1,0) / (0,-4) / (0,-3) / (-1,-4) / (-5,0)",7,"(3,-2)/(-3,0)/(-1,-4)/(-2,3)/(-3,-2)/(-3,0)/(-5,6)/(2,0)"
ThankfulforCubingRPV2023,5.8,d,A,3,"(0,-4) / (0,-3) / (-3,0) / (-5,-2) / (2,-1) / (0,-3) / (-5,0) / (0,-3) / (-3,-2) / (0,-4) / (-3,-4)",5,"(-3,-2)/(-2,0)/(2,3)/(3,0)/(6,5)/(3,-2)"
ThankfulforCubingRPV2023,5.8,d,A,4,"(-2,0) / (-3,-3) / (3,0) / (-4,-4) / (-5,-5) / (-1,0) / (-3,-3) / (-2,0) / (0,-1) / (-1,-5) / (1,-2)",6,"(2,2)/(4,0)/(2,-2)/(1,-2)/(3,3)/(6,-5)/(2,0)"
ThankfulforCubingRPV2023,5.8,d,A,5,"(1,3) / (0,3) / (0,-3) / (5,-1) / (-3,0) / (1,-5) / (-1,0) / (3,0) / (1,0) / (0,-4) / (-2,-2) / (-4,0) / (2,0)",6,"(1,-4)/(1,-4)/(-2,0)/(2,1)/(3,0)/(6,5)/(3,-2)"
CMTGrandJunction2023,5.8,f,A,1,"(0,5) / (0,3) / (-2,1) / (0,-3) / (0,-3) / (3,0) / (6,0) / (-4,0) / (-3,-3) / (6,-1) / (-4,0) / (-4,0)",7,"(2,-2)/(0,-2)/(0,-3)/(-4,-2)/(1,-4)/(0,3)/(6,1)/(2,0)"
CMTGrandJunction2023,5.8,f,A,2,"(0,-4) / (0,6) / (-5,4) / (0,-3) / (-1,-1) / (-2,-2) / (-1,0) / (0,-3) / (-2,-3) / (0,-4) / (-4,-4) / (-4,0) /",6,"(0,4)/(2,-2)/(2,0)/(0,-5)/(3,0)/(1,6)/(2,0)"
CMTGrandJunction2023,5.8,f,A,3,"(-2,0) / (0,-3) / (2,-1) / (3,0) / (3,-3) / (4,-5) / (0,-1) / (-3,0) / (3,-3) / (5,0) / (0,-3) / (-5,0)",4,"(3,-3)/(-3,0)/(-1,3)/(1,4)/(2,0)"
CMTGrandJunction2023,5.8,f,A,4,"(3,-1) / (0,3) / (-5,1) / (-3,0) / (2,-4) / (6,0) / (-2,0) / (-3,-3) / (0,-2) / (5,0) / (5,-4) / (0,-4) /",7,"(-4,2)/(2,-2)/(-2,2)/(4,0)/(1,-4)/(3,3)/(-1,6)/(3,-2)"
CMTGrandJunction2023,5.8,f,A,5,"(4,0) / (3,0) / (2,2) / (0,-3) / (-3,0) / (1,-2) / (-4,-3) / (-3,0) / (3,-1) / (4,0) / (6,0)",5,"(3,0)/(2,-3)/(3,0)/(1,-2)/(-3,0)/(2,0)"
PiticOpen2023,5.8,c,B,1,"(-5,0) / (2,-1) / (-3,0) / (3,0) / (0,-3) / (-2,-2) / (-4,-3) / (-3,-3) / (0,-1) / (-2,-4) / (0,-2) / (-1,-4)",5,"(1,-2)/(2,-2)/(-3,-2)/(3,3)/(5,-3)/(3,-2)"
PiticOpen2023,5.8,c,B,2,"(4,0) / (3,-3) / (-4,-1) / (-2,-5) / (-3,0) / (6,-1) / (-3,0) / (0,-3) / (0,-3) / (5,0) / (0,-4) / (2,0) / (-1,0) /",6,"(0,-2)/(3,-2)/(0,4)/(-3,2)/(3,0)/(3,-2)/(2,0)"
PiticOpen2023,5.8,c,B,3,"(0,2) / (6,-3) / (1,-2) / (0,-3) / (2,-1) / (-3,-5) / (-3,-3) / (-2,-5) / (4,0) / (-4,-2) / (-2,0)",7,"(2,2)/(-2,2)/(4,2)/(2,-2)/(1,2)/(3,3)/(3,4)/(2,0)"
PiticOpen2023,5.8,c,B,4,"(0,5) / (3,6) / (0,3) / (-2,-2) / (-3,0) / (3,0) / (5,0) / (0,-3) / (0,-3) / (0,-2) / (-2,0) / (-4,0) / (0,-2)",5,"(4,2)/(4,-1)/(0,-3)/(-4,0)/(6,-3)/(3,-2)"
PiticOpen2023,5.8,c,B,5,"(0,2) / (-3,0) / (0,3) / (3,-3) / (-2,-2) / (0,-3) / (3,-4) / (0,-3) / (3,0) / (4,0) / (-4,0) / (4,-3)",6,"(2,-3)/(0,-2)/(2,3)/(3,0)/(1,0)/(5,-4)/(3,-2)"
NZNorthIslandChamps2022,5.8,f,A,1,"(3,-1) / (-2,-2) / (3,0) / (-4,-1) / (-3,-3) / (4,0) / (3,0) / (0,-5) / (2,0) / (-4,-2) / (6,-2)",6,"/(-4,-2)/(0,1)/(-1,3)/(-3,0)/(3,-4)/(3,-2)"
NZNorthIslandChamps2022,5.8,f,A,2,"(1,0) / (-1,-1) / (-3,0) / (3,0) / (4,-5) / (-3,0) / (3,-1) / (6,-3) / (-3,0) / (-3,0)",4,"(3,0)/(0,-3)/(3,0)/(-3,2)/(3,-2)"
NZNorthIslandChamps2022,5.8,f,A,3,"(4,3) / (-1,-4) / (-2,-5) / (-3,0) / (5,-4) / (3,-5) / (3,0) / (-5,0) / (-3,-1) / (-5,0) / (-4,-2) /",5,"(0,-4)/(1,-4)/(0,-1)/(0,-3)/(5,3)/(3,-2)"
NZNorthIslandChamps2022,5.8,f,A,4,"(0,2) / (3,0) / (4,-5) / (2,-4) / (6,-3) / (-3,0) / (4,0) / (-3,0) / (0,-2) / (0,-4) / (0,-2) / (6,0) / (-2,-1)",7,"(-4,1)/(0,-4)/(-2,0)/(-3,0)/(-1,2)/(1,0)/(0,3)/(2,-2)"
NZNorthIslandChamps2022,5.8,f,A,5,"(1,0) / (-1,-1) / (-5,4) / (2,-4) / (3,0) / (3,-5) / (0,-3) / (6,-1) / (4,-2) / (0,-2) / (-4,0)",7,"(4,0)/(2,-2)/(-2,3)/(0,-2)/(-4,0)/(3,0)/(3,-1)/(3,-2)"
GreveGymnasium2020,5.8,2,A,1,"(-5,0) / (-4,5) / (4,4) / (-3,0) / (2,-4) / (4,-3) / (-3,0) / (-1,0) / (-4,0) / (1,0) / (0,-3) / (0,-4) / (-2,0)",5,"(2,0)/(-1,4)/(2,-2)/(3,2)/(3,3)/(2,-2)"
GreveGymnasium2020,5.8,2,A,2,"(-2,0) / (3,-3) / (-1,5) / (3,0) / (-5,-2) / (-3,0) / (-4,0) / (3,0) / (1,0) / (0,-3) / (-1,0) / (0,-3) /",4,"(3,-3)/(3,1)/(2,-1)/(6,3)/(3,-2)"
GreveGymnasium2020,5.8,2,A,3,"(4,-3) / (0,6) / (-1,-1) / (0,-3) / (0,-3) / (-3,0) / (-2,0) / (0,-3) / (-1,-2) / (0,-4) / (3,0) / (5,-2)",7,"(-5,0)/(3,2)/(0,-4)/(5,0)/(-3,1)/(0,3)/(4,0)/(2,0)"
GreveGymnasium2020,5.8,2,A,4,"(-5,3) / (-4,2) / (6,0) / (0,-3) / (0,-3) / (-5,-2) / (-1,0) / (0,-3) / (-2,-1) / (6,-4) / (-2,-3) / (-3,0)",7,"(2,2)/(0,1)/(-5,0)/(2,3)/(3,2)/(3,0)/(-3,4)/(2,0)"
GreveGymnasium2020,5.8,2,A,5,"(0,-1) / (3,3) / (4,-5) / (-3,0) / (3,-3) / (-3,0) / (2,0) / (3,0) / (-5,-4) / (3,-4) / (0,-3) / (2,-4)",6,"(1,4)/(4,-1)/(1,0)/(-3,0)/(-3,0)/(-4,3)/(3,-2)"
OklahomaFall2019,5.8,c,B,1,"(4,0) / (3,0) / (2,-4) / (-5,-2) / (0,-3) / (-4,-4) / (-5,0) / (0,-3) / (-3,-3) / (-3,0) / (0,-3) /",4,"(3,3)/(0,-3)/(2,0)/(6,-3)/(3,-2)"
OklahomaFall2019,5.8,c,B,2,"(-2,0) / (-1,-4) / (4,-5) / (0,-3) / (-4,-1) / (0,-3) / (0,-5) / (0,-3) / (0,-1) / (0,-4) / (0,-5) / (-3,-4) / (3,0)",7,"(1,4)/(0,-1)/(5,0)/(2,-2)/(0,-1)/(-3,0)/(6,4)/(2,0)"
OklahomaFall2019,5.8,c,B,3,"(-5,0) / (0,3) / (-1,2) / (3,0) / (-2,-5) / (6,0) / (-4,-3) / (3,0) / (0,-4) / (3,-2) / (2,-2) / (-4,-2)",5,"(4,2)/(1,-4)/(0,3)/(3,-3)/(-1,6)/(3,-2)"
OklahomaFall2019,5.8,c,B,4,"(0,2) / (1,-5) / (3,0) / (-1,-1) / (3,0) / (0,-3) / (6,-5) / (0,-3) / (0,-1) / (-3,-4) / (4,0) / (4,0) / (5,0) /",6,"(4,0)/(4,0)/(-1,4)/(0,1)/(0,3)/(-2,6)/(2,0)"
OklahomaFall2019,5.8,c,B,5,"(-5,0) / (5,-1) / (-5,4) / (3,0) / (2,-1) / (0,-2) / (3,0) / (1,0) / (4,0) / (2,0) / (6,-3) / (4,0) / (6,0) /",7,"(-4,2)/(-4,1)/(-3,0)/(4,0)/(-2,-1)/(-3,0)/(-3,-5)/(2,0)"
SSL1AkersStyckebruk2019,5.8,d,B,1,"(4,0) / (-1,2) / (3,0) / (-3,-3) / (0,-3) / (-5,-2) / (-1,0) / (-3,-3) / (-2,0) / (5,0) / (-4,-3) / (-2,0) /",6,"(-4,-2)/(-2,-2)/(2,0)/(2,-3)/(3,3)/(1,6)/(2,0)"
SSL1AkersStyckebruk2019,5.8,d,B,2,"(-5,-3) / (3,0) / (0,3) / (-4,-1) / (-3,-3) / (-3,0) / (4,0) / (-3,-3) / (-5,0) / (-2,-4) / (0,-2) / (0,-2)",7,"(4,-2)/(0,-2)/(-2,2)/(-4,2)/(1,2)/(3,3)/(6,-5)/(2,0)"
SSL1AkersStyckebruk2019,5.8,d,B,3,"(0,5) / (0,-3) / (0,6) / (-3,0) / (-5,-2) / (-3,0) / (-3,0) / (-1,0) / (0,-3) / (4,0) / (-4,0) / (3,0) / (-3,0) /",4,"(3,3)/(-3,0)/(3,2)/(-2,-5)/(2,0)"
SSL1AkersStyckebruk2019,5.8,d,B,4,"(-5,0) / (-1,2) / (0,3) / (1,-5) / (0,-3) / (-4,-1) / (0,-2) / (-3,-3) / (6,-3) / (0,-4) / (4,0) / (0,-4)",6,"(-3,-2)/(0,5)/(1,-4)/(-4,-1)/(3,3)/(1,6)/(2,0)"
SSL1AkersStyckebruk2019,5.8,d,B,5,"(3,2) / (0,3) / (0,-3) / (4,-5) / (-3,0) / (-4,-4) / (-5,0) / (3,0) / (0,-5) / (2,0) / (-4,-2) / (0,-2) /",6,"(6,0)/(2,-2)/(2,0)/(3,-2)/(0,-3)/(4,-3)/(2,0)"
VilleneuvelesAvignonOpen2019,5.8,d,A,1,"(0,5) / (-5,1) / (5,-4) / (0,-3) / (4,-2) / (0,-4) / (-3,0) / (0,-2) / (-1,0) / (0,-1) / (2,0) /",6,"(6,0)/(5,0)/(-1,0)/(1,3)/(3,0)/(2,3)/(3,-2)"
VilleneuvelesAvignonOpen2019,5.8,d,A,2,"(0,-4) / (3,0) / (-3,0) / (1,-2) / (0,-3) / (-1,-1) / (-5,-3) / (-3,-3) / (-5,0) / (-4,0) / (-2,0) / (-2,0) / (4,0) /",6,"(0,-2)/(-2,0)/(2,-2)/(-5,0)/(3,3)/(2,6)/(3,-2)"
VilleneuvelesAvignonOpen2019,5.8,d,A,3,"(0,5) / (-5,-5) / (-1,-4) / (1,-2) / (-3,0) / (6,-4) / (3,0) / (-4,0) / (1,0) / (-4,0) / (2,-5) / (0,-3) / (-4,0)",7,"(4,0)/(0,5)/(-2,3)/(-2,3)/(1,2)/(3,0)/(6,1)/(2,0)"
VilleneuvelesAvignonOpen2019,5.8,d,A,4,"(3,-1) / (0,-3) / (-2,4) / (3,0) / (0,-3) / (-4,-1) / (1,0) / (-3,-3) / (-3,0) / (-4,-2) / (0,-4) / (6,-4)",6,"(4,-2)/(2,-2)/(4,0)/(0,4)/(3,2)/(-3,-3)/"
VilleneuvelesAvignonOpen2019,5.8,d,A,5,"(4,0) / (3,3) / (5,2) / (4,-5) / (5,-1) / (-3,-5) / (-3,-3) / (0,-1) / (-2,-2) / (0,-4) /",4,"/(2,1)/(3,3)/(6,-4)/(3,-2)"
IIRecifeOpen2018,5.8,c,A,1,"(0,-4) / (-3,3) / (3,0) / (0,-3) / (1,-2) / (0,-3) / (-1,0) / (3,0) / (3,0) / (4,0) / (4,0) / (0,-4) / (0,-4) / (-4,-3)",7,"(4,1)/(0,4)/(-4,0)/(2,-2)/(0,3)/(-3,0)/(-3,4)/(2,0)"
IIRecifeOpen2018,5.8,c,A,2,"(-3,-1) / (0,-3) / (-5,-2) / (0,-3) / (3,0) / (3,-3) / (5,0) / (6,-3) / (2,-5) / (4,0) / (6,0) /",5,"(6,0)/(2,0)/(1,-4)/(0,3)/(-1,-3)/(3,-2)"
IIRecifeOpen2018,5.8,c,A,3,"(1,0) / (3,3) / (-4,-1) / (4,-2) / (-1,-4) / (3,-2) / (-3,0) / (-2,-1) / (4,-3) / (-3,-4) / (-2,0)",7,"(2,-2)/(-1,0)/(-2,0)/(0,-4)/(-1,-2)/(0,-3)/(-2,3)/(2,0)"
IIRecifeOpen2018,5.8,c,A,4,"(-5,3) / (0,3) / (3,0) / (-1,-4) / (-3,0) / (-2,-2) / (-4,0) / (0,-3) / (6,-3) / (2,0) / (-5,-2)",5,"(6,0)/(3,-1)/(-3,0)/(3,-3)/(0,-5)/(2,0)"
IIRecifeOpen2018,5.8,c,A,5,"(-2,0) / (-4,-4) / (3,0) / (1,-2) / (5,-1) / (-3,-2) / (0,-3) / (4,0) / (0,-3) / (0,-3) / (6,-1)",5,"(-1,0)/(1,3)/(0,3)/(3,-3)/(-1,3)/(3,-2)"
PhoenixCubeChampionship2018,5.8,f,B,1,"(1,-3) / (0,-3) / (-4,-4) / (-2,-5) / (2,-4) / (-3,-5) / (0,-3) / (3,0) / (-3,0)",6,"(2,3)/(1,-3)/(-3,0)/(0,3)/(1,0)/(3,3)/(2,0)"
PhoenixCubeChampionship2018,5.8,f,B,2,"(-5,3) / (-3,3) / (2,-1) / (3,-3) / (3,0) / (1,0) / (-3,0) / (5,0) / (4,0) / (-4,-3) / (0,-4) / (-4,0) / (0,-2)",6,"/(-2,-3)/(-4,-2)/(1,-4)/(3,3)/(-4,6)/(3,-2)"
PhoenixCubeChampionship2018,5.8,f,B,3,"(0,-1) / (4,-2) / (0,3) / (3,0) / (-3,0) / (-1,-4) / (-2,-3) / (-3,0) / (5,0) / (-3,0)",5,"(0,4)/(0,-3)/(1,-3)/(3,-3)/(5,-4)/(3,-2)"
PhoenixCubeChampionship2018,5.8,f,B,4,"(-5,0) / (-3,0) / (-4,5) / (-2,-5) / (-3,0) / (5,-4) / (0,-5) / (3,0) / (-3,-3) /",5,"(6,0)/(0,-5)/(2,-3)/(0,3)/(-3,2)/(3,-2)"
PhoenixCubeChampionship2018,5.8,f,B,5,"(0,2) / (-2,4) / (-4,5) / (-3,0) / (-5,-5) / (3,0) / (-1,0) / (-3,0) / (-2,-1) / (2,0) / (3,0) / (-4,0)",7,"(-2,3)/(-2,-1)/(4,-2)/(-2,2)/(-4,1)/(3,3)/(1,3)/(2,0)"
RamenskoeOpen2017,5.8,d,A,1,"(-5,3) / (3,0) / (-4,-1) / (1,-5) / (0,-3) / (6,-1) / (3,0) / (0,-3) / (4,-4) / (0,-2) / (6,-4) /",7,"(0,2)/(-2,0)/(4,0)/(-4,0)/(1,0)/(0,3)/(5,-3)/(3,-2)"
RamenskoeOpen2017,5.8,d,A,2,"(0,5) / (0,-3) / (-3,0) / (-2,-2) / (2,-1) / (1,0) / (-3,-3) / (-5,0) / (0,-4) / (-2,-4) / (2,0) / (6,0)",6,"(-2,0)/(2,0)/(-4,0)/(-4,1)/(3,3)/(-3,5)/(3,-2)"
RamenskoeOpen2017,5.8,d,A,3,"(0,-4) / (3,-3) / (4,-5) / (-1,-4) / (4,-2) / (-3,-4) / (-3,-3) / (-5,0) / (-4,0) / (-2,-2)",5,"(-4,-1)/(5,0)/(1,3)/(3,3)/(-1,6)/(3,-2)"
RamenskoeOpen2017,5.8,d,A,4,"(0,-4) / (-3,0) / (3,0) / (3,0) / (-2,-5) / (0,-3) / (3,0) / (0,-4) / (0,-3) / (5,-2) / (0,-2) / (2,0) / (-1,0) /",7,"(-3,0)/(1,4)/(2,2)/(4,0)/(-1,0)/(0,-3)/(-3,2)/(3,-2)"
RamenskoeOpen2017,5.8,d,A,5,"(0,-4) / (-3,3) / (-3,6) / (0,-3) / (-2,-5) / (2,-3) / (0,-3) / (4,0) / (-1,-1) / (-5,0)",4,"(2,1)/(0,3)/(-2,-3)/(-4,-1)/(3,-2)"
NewcastleunderLyme2017,5.8,f,A,1,"(-5,0) / (3,6) / (6,0) / (-4,-4) / (-3,0) / (-5,-5) / (-1,0) / (0,-3) / (4,-3) / (-4,0) / (0,-4) / (6,-4)",5,"(-2,-2)/(0,2)/(-3,-2)/(-3,0)/(-5,3)/(2,0)"
NewcastleunderLyme2017,5.8,f,A,2,"(0,-1) / (-2,-5) / (0,3) / (-4,-4) / (-3,0) / (-2,-5) / (-4,0) / (-3,0) / (0,-1) / (2,-5) / (2,-4) / (0,-2)",7,"(4,0)/(3,2)/(2,0)/(0,2)/(1,2)/(0,3)/(3,4)/(2,0)"
NewcastleunderLyme2017,5.8,f,A,3,"(0,5) / (-2,-2) / (-4,-1) / (-3,-3) / (3,0) / (-5,-3) / (3,0) / (3,0) / (-5,0) / (2,-2) / (2,-3)",6,"(-2,3)/(0,2)/(0,-2)/(0,-1)/(-3,0)/(-4,3)/(3,-2)"
NewcastleunderLyme2017,5.8,f,A,4,"(-5,0) / (-1,-4) / (-2,-5) / (-4,0) / (3,0) / (1,0) / (-2,0) / (-4,0) / (0,-4) / (6,-2) / (-3,-5) / (6,-1) / (-5,0)",7,"(0,-3)/(1,-2)/(4,0)/(0,-4)/(4,-1)/(0,-3)/(-4,6)/(3,-2)"
NewcastleunderLyme2017,5.8,f,A,5,"(-5,0) / (3,0) / (-1,-4) / (4,-5) / (0,-3) / (6,-3) / (2,0) / (-3,-3) / (0,-5) / (-4,0) / (3,0) / (0,-1) /",4,"(6,0)/(1,3)/(3,3)/(3,1)/(2,0)"
DanishSmallCubeOpen2015,5.8,f,B,1,"(0,-1) / (-3,-3) / (-2,1) / (3,-3) / (5,-4) / (6,-2) / (3,0) / (1,-4) / (-2,-4) / (4,-1) / (-4,0)",6,"(4,0)/(-4,1)/(-4,-2)/(4,-1)/(-3,0)/(5,-3)/(3,-2)"
DanishSmallCubeOpen2015,5.8,f,B,2,"(-2,0) / (3,0) / (-4,5) / (-2,-5) / (2,-1) / (1,0) / (-3,0) / (-1,-3) / (0,-5) / (-4,0) / (0,-4) / (4,0) / (-5,0)",7,"(2,0)/(-3,-2)/(2,2)/(1,0)/(3,2)/(0,3)/(-3,1)/(2,0)"
DanishSmallCubeOpen2015,5.8,f,B,3,"(1,0) / (3,0) / (-1,-4) / (-5,-5) / (-3,0) / (3,0) / (5,0) / (6,-3) / (0,-3) / (-4,0) / (0,-3) / (-5,0) /",5,"(2,3)/(3,-2)/(0,-3)/(3,-3)/(3,1)/(2,0)"
DanishSmallCubeOpen2015,5.8,f,B,4,"(0,5) / (3,0) / (6,0) / (4,-5) / (-4,0) / (3,0) / (1,0) / (4,0) / (2,0) / (-2,0) /",7,"(4,0)/(0,2)/(2,-2)/(1,0)/(-4,0)/(3,0)/(6,2)/(3,-2)"
DanishSmallCubeOpen2015,5.8,f,B,5,"(0,5) / (-2,1) / (5,-1) / (3,0) / (-5,-2) / (3,0) / (0,-4) / (0,-3) / (-1,0) / (1,-2) / (-3,-4) /",4,"(3,0)/(0,-5)/(-4,-1)/(0,-3)/(3,-2)"
